Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.4283554	0.041514	0.53927225	0.34806222	1000.0	-0.06289528	0.1031195	0.4948377	-0.3365311	40000	-3.259629e-09	0.011248024	-0.011325056	-0.01010664	0.91894484	0.0070285304	0.064375	79.0	9.989611148834229
1	0.4529728	0.044274975	0.5330828	0.36549428	1000.0	0.030598417	0.008065539	0.09267941	-0.03232619	80000	3.7252903e-09	0.010720128	-0.01415502	-0.010591872	0.9185309	0.007835852	0.093624994	79.0	20.481436014175415
2	0.48705393	0.04666095	0.59665346	0.3731924	1000.0	0.04388222	0.0055223047	0.090302475	-0.0016364679	120000	-3.7252903e-09	0.011053257	-0.015328913	-0.010918608	0.9047951	0.008677013	0.109625	79.0	30.888203144073486
3	0.55837405	0.055487342	0.6597308	0.44416457	1000.0	0.048380926	0.0044036387	0.08635371	0.010039367	160000	1.8626451e-09	0.011568765	-0.01572321	-0.011410901	0.8894343	0.00892025	0.114425	79.0	41.65786361694336
4	0.64932597	0.050469767	0.7464829	0.53395665	1000.0	0.05489436	0.0036828863	0.08052719	0.029169828	200000	1.1175871e-08	0.012232918	-0.015560589	-0.012039275	0.871824	0.008256314	0.11585	79.0	52.79983115196228
5	0.72688276	0.06472377	0.83610046	0.60041386	1000.0	0.063806035	0.0035126556	0.09072894	0.03923432	240000	-9.313226e-09	0.013150319	-0.016845942	-0.012920546	0.85568166	0.00919821	0.1291	79.0	63.965445041656494
6	0.8634834	0.090613864	1.0846907	0.72696936	1000.0	0.07172981	0.002960575	0.09636913	0.04180249	280000	1.9557774e-08	0.014953643	-0.017876402	-0.014602731	0.83491874	0.010716899	0.138975	79.0	75.32022500038147
7	0.985548	0.083407894	1.1846021	0.7940132	1000.0	0.085051596	0.0028290618	0.10418844	0.06419297	320000	-2.561137e-09	0.01670747	-0.01676913	-0.016269421	0.8145986	0.009779463	0.1302	79.0	87.04540657997131
8	1.1646324	0.10410137	1.3364582	0.93012583	1000.0	0.09721873	0.002729182	0.12062962	0.0733324	360000	-5.5879354e-09	0.019848956	-0.017295882	-0.019192776	0.7920023	0.009497003	0.13097501	79.0	98.59429907798767
9	1.3145546	0.09528847	1.5224859	1.1597515	1000.0	0.11449318	0.0030266757	0.1369653	0.0906007	400000	-8.8475645e-09	0.023350578	-0.01675087	-0.022610344	0.7718463	0.008379776	0.12705	79.0	109.58594155311584
10	1.5304697	0.12111023	1.7865908	1.2820735	1000.0	0.13026322	0.0026146485	0.1493349	0.0978282	440000	3.7252903e-09	0.028748374	-0.016824443	-0.027683053	0.7519047	0.009551611	0.127425	79.0	120.47193193435669
11	1.7589862	0.17754686	2.2323635	1.3883941	1000.0	0.15016063	0.0032700964	0.16835393	0.120033525	480000	4.004687e-08	0.035690345	-0.017878026	-0.034200344	0.7327061	0.009830355	0.1342	79.0	131.84747457504272
12	2.0471585	0.21678483	2.4848526	1.6118115	1000.0	0.17339113	0.0039112945	0.19404466	0.14521585	520000	-5.122274e-09	0.046101324	-0.017439978	-0.043856993	0.7135689	0.009806277	0.13265	79.0	142.7204351425171
13	2.3229055	0.21135609	2.7470944	1.9109629	1000.0	0.2023225	0.0037199948	0.21633935	0.17094521	560000	-1.3038516e-08	0.057603657	-0.01819103	-0.054982223	0.6922679	0.009292556	0.135075	79.0	153.09977555274963
14	2.555015	0.27396813	3.1953824	1.9547313	1000.0	0.22979438	0.0035478103	0.24999976	0.20685129	600000	1.8626451e-09	0.06816962	-0.01755087	-0.06478042	0.67320067	0.009817237	0.13585001	79.0	163.08992886543274
15	3.0311906	0.34532863	4.1297083	2.3646805	1000.0	0.25223595	0.0057193767	0.28591776	0.22251946	640000	-5.5879354e-09	0.093980655	-0.017605513	-0.08882794	0.6540498	0.010834178	0.13409999	79.0	172.5803816318512
16	3.3986115	0.3437231	4.3185267	2.9195821	1000.0	0.29891768	0.0056288354	0.3229789	0.26411125	680000	-1.2805685e-08	0.1176044	-0.018015373	-0.11132844	0.63673204	0.008582779	0.13315	79.0	181.98737573623657
17	3.751664	0.4319257	4.6211567	3.0531647	1000.0	0.33726358	0.0060648485	0.37081134	0.3010403	720000	9.313226e-09	0.14128245	-0.018488057	-0.134052	0.6208558	0.010494078	0.137225	79.0	192.15268445014954
18	4.1465735	0.59219265	5.587748	3.0178776	1000.0	0.37082514	0.010047991	0.42373404	0.32114905	760000	5.5879354e-09	0.17556162	-0.018342655	-0.16463101	0.60267633	0.010319509	0.135675	79.0	202.89980554580688
19	4.5405188	0.44523475	5.5196533	3.408452	1000.0	0.41074872	0.008818404	0.43889588	0.34644875	800000	-1.3038516e-08	0.20875265	-0.01846663	-0.19885491	0.5850282	0.009433943	0.13262498	79.0	211.31342339515686
20	5.1221733	0.54262847	6.35288	4.050712	1000.0	0.45208558	0.009377047	0.49496096	0.4073226	840000	-1.1874363e-08	0.26832402	-0.018018026	-0.25078022	0.5672066	0.010474689	0.131425	79.0	222.41236543655396
21	5.74362	0.49038935	6.8969884	4.4021053	1000.0	0.50845236	0.011484967	0.5601951	0.45504066	880000	1.3969839e-08	0.3322761	-0.018642455	-0.3143208	0.55208784	0.009474888	0.131925	79.0	233.46294736862183
22	6.2414637	0.5592862	7.3390956	5.134656	1000.0	0.5693898	0.010917285	0.607534	0.506505	920000	-2.3283064e-10	0.39299458	-0.01859565	-0.37182534	0.536987	0.009523626	0.135275	79.0	244.60921025276184
23	6.958243	0.74430233	8.782352	5.4577894	1000.0	0.61944747	0.017484656	0.71491027	0.5519872	960000	3.7252903e-09	0.49529904	-0.018657945	-0.46458942	0.5194376	0.010798229	0.138475	79.0	253.15478777885437
24	7.781241	0.89691156	10.246142	5.685482	1000.0	0.6920851	0.012292369	0.75334793	0.6197821	1000000	1.3969839e-09	0.61387026	-0.018995142	-0.57303405	0.50197214	0.010706961	0.14165	79.0	263.1003489494324
25	8.379451	1.0554702	10.609348	6.5849094	1000.0	0.7669536	0.014659244	0.81112516	0.63369006	1040000	1.7695129e-08	0.7296643	-0.018515028	-0.67534924	0.48758164	0.00966163	0.135625	79.0	273.71543526649475
