Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-677.4407	23.169456	-633.9351	-715.964	1000.0	-2.2470348	0.24386579	-0.9275414	-2.963716	40000	nan	nan	nan	nan	nan	nan	nan	23.0	88.10131645202637
1	-635.7117	23.642162	-587.5656	-676.1964	1000.0	-18.23449	0.3165171	-14.546065	-18.658411	80000	nan	nan	nan	nan	nan	nan	nan	22.5	177.30162143707275
2	-577.97986	25.70563	-538.78534	-626.1872	1000.0	-25.221407	0.29986137	-20.744621	-25.66105	120000	nan	nan	nan	nan	nan	nan	nan	22.5	266.8244001865387
3	-528.9915	27.65017	-496.27982	-581.48944	1000.0	-29.870775	0.24494651	-25.18798	-30.201178	160000	nan	nan	nan	nan	nan	nan	nan	22.0	356.710471868515
4	-474.16864	25.574265	-449.02747	-524.2693	1000.0	-33.140682	0.2552181	-28.057077	-33.47554	200000	nan	nan	nan	nan	nan	nan	nan	22.0	447.0289058685303
5	-438.03516	21.37243	-411.68234	-485.65625	1000.0	-35.22909	0.44209006	-29.975874	-35.932755	240000	nan	nan	nan	nan	nan	nan	nan	22.0	537.391304731369
6	-417.18036	15.473831	-397.45172	-453.057	1000.0	-36.53727	0.60665536	-31.136324	-37.53513	280000	nan	nan	nan	nan	nan	nan	nan	21.5	627.6181674003601
7	-387.97287	15.970429	-367.88058	-423.58453	1000.0	-37.3622	0.69492567	-31.961817	-38.509514	320000	nan	nan	nan	nan	nan	nan	nan	21.5	717.5936353206635
8	-363.39252	14.534523	-339.6931	-384.246	1000.0	-37.59732	0.8055849	-32.128452	-38.92186	360000	nan	nan	nan	nan	nan	nan	nan	21.5	807.6742007732391
9	-343.44467	13.10674	-324.21814	-367.09033	1000.0	-37.366367	0.8802947	-31.940432	-38.760307	400000	nan	nan	nan	nan	nan	nan	nan	21.5	897.8074250221252
10	-324.65918	14.999965	-305.74667	-354.08206	1000.0	-36.797127	0.94667435	-31.373177	-38.192146	440000	nan	nan	nan	nan	nan	nan	nan	21.0	987.7843992710114
11	-301.16318	22.5485	-278.3759	-348.24976	1000.0	-35.957863	1.014594	-30.517187	-37.256622	480000	nan	nan	nan	nan	nan	nan	nan	21.5	1077.3914802074432
12	-290.4937	25.38592	-257.53394	-336.27213	1000.0	-34.77072	1.1988032	-29.331263	-36.044407	520000	nan	nan	nan	nan	nan	nan	nan	27.0	1167.1418657302856
13	-285.94968	24.8626	-258.77408	-331.66492	1000.0	-33.56001	1.4646622	-28.080446	-35.39883	560000	nan	nan	nan	nan	nan	nan	nan	21.5	1256.935940504074
14	-277.80365	25.594057	-250.52003	-329.0592	1000.0	-32.475254	1.6705381	-26.928827	-34.77228	600000	nan	nan	nan	nan	nan	nan	nan	21.0	1347.0145273208618
15	-259.8963	24.323944	-235.12737	-309.80057	1000.0	-31.406107	1.860313	-25.882671	-34.110947	640000	nan	nan	nan	nan	nan	nan	nan	21.0	1436.671983718872
