Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-659.82135	23.904228	-622.8263	-701.89984	1000.0	0.03305223	0.111338206	0.3898937	-0.43478802	40000	-7.227063e-07	3716.4578	-0.038237963	-595.9985	0.9189385	0.015028949	0.23389998	12.0	135.76077890396118
1	-638.96155	26.058428	-603.9676	-691.70734	1000.0	-5.357044	0.4385726	-1.0211122	-6.333439	80000	-5.6251884e-07	2931.5022	-0.037674792	-420.38593	0.91844153	0.015071588	0.26889998	17.0	277.55400943756104
2	-620.25305	24.264029	-589.14594	-668.0117	1000.0	-9.583605	0.27754638	-3.1603565	-9.971344	120000	5.289912e-07	2341.44	-0.029292233	-269.26526	0.9176892	0.015225545	0.24917498	11.0	413.67952704429626
3	-601.3609	21.84372	-566.3128	-651.37024	1000.0	-12.599073	0.28035766	-4.920233	-12.888833	160000	-1.899898e-07	1928.5859	-0.023571974	-216.08026	0.91727674	0.0152264815	0.25857502	9.0	548.9681189060211
4	-580.223	23.169	-547.2582	-625.0308	1000.0	-15.265211	0.2914732	-6.621645	-15.501909	200000	2.9802322e-07	1560.1211	-0.021786554	-176.65329	0.91699433	0.016052185	0.25805	8.0	684.371354341507
5	-556.80237	23.348572	-519.1406	-602.1506	1000.0	-17.69181	0.30407718	-8.281238	-17.894274	240000	-3.7252903e-08	1235.6868	-0.020910384	-143.61772	0.9166709	0.016237432	0.24894999	7.0	813.0523865222931
6	-535.8499	21.5866	-506.3916	-579.20306	1000.0	-19.911203	0.3180452	-9.865314	-20.077425	280000	-3.3527613e-07	971.42053	-0.018949782	-116.57326	0.91641784	0.01650099	0.2683	6.0	957.1960773468018
7	-514.69934	18.36396	-485.387	-553.8213	1000.0	-21.94555	0.32603619	-11.388944	-22.057568	320000	2.0116568e-07	746.3574	-0.016668806	-93.05325	0.91621196	0.0188604	0.287875	6.0	1098.342092037201
8	-493.31232	17.82009	-467.0594	-528.22876	1000.0	-23.801416	0.33322963	-12.842351	-23.941708	360000	-7.4505806e-08	557.011	-0.015850678	-72.395775	0.91605055	0.01742921	0.29305	6.0	1233.7793922424316
9	-473.60712	14.497434	-445.8935	-507.50226	1000.0	-25.474874	0.34344393	-14.192999	-25.642725	400000	-1.8253922e-07	410.38385	-0.015178918	-55.5767	0.9158945	0.016380634	0.25255	5.0	1371.1484298706055
10	-458.93317	13.103113	-435.62527	-482.89822	1000.0	-26.974432	0.3526858	-15.453893	-27.15055	440000	3.2410026e-07	307.26672	-0.01223119	-43.270634	0.91577864	0.017990775	0.287	5.0	1513.6580848693848
11	-443.18573	9.809763	-428.0268	-461.20096	1000.0	-28.325745	0.3631752	-16.637447	-28.500795	480000	3.1664968e-07	220.27086	-0.011708025	-32.410225	0.91568613	0.018174611	0.29782498	5.0	1654.5344429016113
12	-428.60727	10.5838175	-413.05396	-450.4757	1000.0	-29.524784	0.37229484	-17.75139	-29.71303	520000	-1.4901161e-07	153.66856	-0.011799613	-23.529121	0.91559464	0.0186814	0.29285	5.0	1799.1080260276794
13	-418.75293	10.72926	-401.60742	-445.08932	1000.0	-30.570059	0.38868615	-18.769625	-30.857647	560000	-2.0861626e-07	110.34005	-0.012089993	-17.513748	0.91547996	0.01540371	0.22677499	4.0	1934.635629415512
14	-407.50552	10.156825	-390.83392	-433.5011	1000.0	-31.488987	0.4164543	-19.692755	-31.89389	600000	-1.4901161e-07	74.379105	-0.009283949	-12.350808	0.9153839	0.017622821	0.28842497	4.0	2078.1269059181213
15	-397.82275	10.953854	-382.5037	-420.46725	1000.0	-32.27978	0.44740856	-20.55076	-32.78957	640000	-3.7252903e-08	49.37784	-0.00884822	-8.425059	0.91530794	0.016845569	0.2741	4.0	2226.402966737747
16	-387.04498	12.702795	-364.231	-412.41544	1000.0	-32.9466	0.48789203	-21.314426	-33.56466	680000	-4.4703484e-08	30.025412	-0.008678343	-5.267399	0.91523635	0.018601663	0.32415	5.0	2367.5039694309235
17	-377.34662	14.068315	-359.74356	-410.45648	1000.0	-33.48478	0.54462355	-21.960688	-34.234283	720000	0.0	17.011597	-0.011325052	-3.0479584	0.91509014	0.018210918	0.282975	5.0	2505.3345260620117
18	-368.83878	13.432901	-350.2561	-399.19226	1000.0	-33.900616	0.608799	-22.485748	-34.78906	760000	2.2351742e-08	9.069801	-0.009684442	-1.6196934	0.9149306	0.017779794	0.29805	5.0	2653.2225139141083
19	-358.73102	12.904076	-342.0865	-384.13348	1000.0	-34.207966	0.6725591	-22.921955	-35.224964	800000	1.2665987e-07	3.8372486	-0.010337792	-0.58875465	0.91476357	0.016468376	0.284575	5.0	2801.0556643009186
20	-349.597	12.52963	-332.49707	-377.867	1000.0	-34.396828	0.7301792	-23.25726	-35.52674	840000	0.0	1.7535307	-0.009645492	-0.12939113	0.91458535	0.01923974	0.29834998	5.0	2926.7860968112946
21	-342.05972	14.121001	-323.33914	-369.38654	1000.0	-34.47474	0.7787817	-23.467588	-35.702156	880000	-7.450581e-09	1.5957236	-0.009854397	-0.081239164	0.91440594	0.018577026	0.290025	5.0	3055.6702075004578
22	-332.3794	14.970132	-314.34924	-363.54727	1000.0	-34.46205	0.83155894	-23.573154	-35.795395	920000	3.7252903e-08	2.9405985	-0.009730568	-0.31735173	0.91424024	0.017029945	0.295375	5.0	3193.876267671585
23	-325.28943	15.712197	-307.34607	-358.0389	1000.0	-34.34834	0.89508647	-23.61152	-35.80252	960000	2.2351742e-08	4.4823627	-0.00992886	-0.69455695	0.9140904	0.016260728	0.23979999	4.0	3333.933480978012
24	-317.79614	15.098494	-293.3523	-349.56165	1000.0	-34.153435	0.9645071	-23.575775	-35.739433	1000000	-8.940697e-08	6.2812524	-0.007190421	-1.0988853	0.9140117	0.017494168	0.28672498	4.0	3476.9177510738373
25	-309.46753	15.141551	-291.18073	-339.6457	1000.0	-33.89023	1.0166748	-23.4517	-35.57106	1040000	-2.9802322e-08	8.903023	-0.0072482973	-1.726476	0.9139409	0.018100787	0.276725	4.0	3610.393268108368
26	-302.12	15.497922	-281.43033	-335.09128	1000.0	-33.550076	1.0584822	-23.243217	-35.30325	1080000	5.2154064e-08	10.745726	-0.0073942244	-2.235476	0.913859	0.018976491	0.295825	4.0	3745.5419013500214
27	-293.56635	15.8958435	-273.3129	-325.41058	1000.0	-33.151283	1.1043966	-22.975998	-34.9808	1120000	-1.4901161e-08	13.697032	-0.007532837	-3.004527	0.91375065	0.018841999	0.3114	4.0	3889.238401889801
28	-288.2161	15.063239	-264.5147	-318.9982	1000.0	-32.681736	1.1540825	-22.63915	-34.594467	1160000	-1.5646219e-07	13.801735	-0.006356096	-3.1678321	0.9136262	0.016701588	0.270625	4.0	4035.2700521945953
29	-282.24182	14.682861	-261.5043	-309.98056	1000.0	-32.184242	1.1940937	-22.300137	-34.161976	1200000	1.3038516e-07	14.404043	-0.0069527896	-3.4206595	0.91348934	0.01757135	0.27135	4.0	4178.846187114716
30	-275.2	13.108294	-256.98108	-300.76675	1000.0	-31.660215	1.2204758	-21.928663	-33.67619	1240000	-1.8253922e-07	15.855432	-0.0065637752	-3.8662302	0.91334176	0.018618848	0.311675	4.0	4327.169653892517
31	-269.27606	11.796712	-253.35818	-294.62595	1000.0	-31.097244	1.2224215	-21.524517	-33.095142	1280000	-1.5646219e-07	16.003502	-0.0065029827	-3.9718244	0.91319674	0.017395299	0.287175	4.0	4467.841185092926
32	-263.5643	12.886936	-241.17032	-291.05328	1000.0	-30.514631	1.2053169	-21.137974	-32.468388	1320000	5.9604645e-08	15.90481	-0.0061230743	-4.105525	0.91307443	0.018419253	0.278975	4.0	4600.676885128021
33	-258.39618	11.92524	-237.8434	-282.12646	1000.0	-29.9142	1.2003435	-20.71604	-31.847954	1360000	-6.519258e-08	15.423891	-0.006010329	-4.039734	0.91296375	0.019363672	0.286275	4.0	4743.431118488312
