Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3.5917776	13.948697	159.79587	-63.89511	17.536533	-0.034464754	0.101276435	0.14596562	-0.2493296	50000	-0.0034746807	262.7016	-0.0063743135	-14.953081	1.7750653	0.011774709	0.089719996	39.0	25.432739734649658
1	-3.8140278	16.30445	114.57031	-71.2933	28.662436	-3.0803688	2.2751963	4.7806907	-7.913601	100000	-0.0027818037	330.05518	-0.0044570067	-38.121037	1.7654845	0.011211941	0.07898	39.0	51.93015813827515
2	-3.3365035	19.279041	264.05203	-63.728844	29.12061	-6.9027605	6.8833003	14.329001	-15.989557	150000	-0.0031767758	367.52362	-0.004693513	-14.387215	1.7645743	0.010379576	0.07988	39.0	81.34392595291138
3	-2.41435	23.488066	320.3041	-71.4719	26.573347	-5.928171	8.689415	17.29697	-18.375784	200000	-0.002146311	471.6206	-0.0058199745	-38.10697	1.7607356	0.010842025	0.08108	39.0	115.1484649181366
4	-1.8064239	23.178503	351.1897	-72.39581	25.991104	-3.002437	8.786392	26.969036	-21.881191	250000	-0.0034029307	461.6937	-0.006187482	-15.737064	1.7487862	0.011181745	0.09098999	39.0	151.3164234161377
5	0.91602373	35.039093	505.57538	-64.55793	22.921911	0.46329767	10.90446	33.48079	-25.261497	300000	-0.0031671338	898.65076	-0.006321205	-57.57865	1.7231379	0.01235297	0.11821	39.0	186.19184350967407
6	5.8877053	50.579735	753.6481	-61.331696	27.450275	6.459238	15.811342	45.4933	-26.36419	350000	-0.003676355	1410.896	-0.00549432	-79.756744	1.6906455	0.010234204	0.118090004	39.0	223.79204082489014
7	12.57325	66.68814	539.5972	-65.84242	30.09619	15.311554	21.1387	56.730648	-22.465342	400000	-0.0032508373	1930.981	-0.005729439	-134.51028	1.6428568	0.010764834	0.11154	39.0	259.8173758983612
8	23.470781	86.90593	608.55023	-61.02315	35.418736	26.811607	25.647999	66.35537	-15.805318	450000	-0.0035348162	2565.7458	-0.00467546	-127.02156	1.6013293	0.01161067	0.11052999	39.0	295.68353724479675
9	31.211258	97.66723	693.9303	-59.678394	37.786636	33.531815	29.420961	75.548225	-18.024323	500000	-0.0020990968	2982.8887	-0.005612823	-110.468575	1.5643537	0.011754772	0.0979	39.0	332.6037003993988
10	40.22961	111.19826	731.4071	-60.67145	43.126846	38.91985	34.7963	84.511826	-18.48011	550000	-0.003005948	3329.049	-0.004814019	-120.876945	1.5506928	0.0120122135	0.11060999	39.0	387.1176133155823
11	33.886528	108.00585	729.29956	-57.817234	34.09253	45.807426	36.539223	89.43617	-20.323925	600000	-0.00293326	3407.7136	-0.004040435	-75.68555	1.529712	0.010072361	0.06766	39.0	418.82820081710815
12	39.44398	116.994255	850.19476	-55.97581	34.512127	51.679424	38.136543	95.27491	-14.6126	650000	-0.0018649437	3851.9194	-0.004343892	-86.0336	1.4964978	0.009323303	0.06515	39.0	452.4287955760956
13	34.45302	111.04687	702.38635	-57.29853	31.956213	58.172283	40.61861	101.24103	-14.036444	700000	-0.0010673907	3417.613	-0.004394884	-49.53913	1.4870425	0.012682466	0.08024	39.0	485.3648250102997
14	45.197025	121.99181	590.4601	-63.91754	39.964546	60.873775	40.867203	104.506996	-12.683142	750000	-0.0019265227	3326.3315	-0.00420543	-36.119793	1.4847287	0.010345977	0.07353	39.0	512.0481057167053
15	51.114613	137.23505	757.9267	-58.749706	41.31089	62.16232	43.73926	107.302414	-11.077127	800000	-0.0018405691	3851.8362	-0.004230194	-63.434532	1.4425236	0.009435214	0.08354	39.0	547.0392100811005
16	57.07019	144.60652	710.7575	-62.848846	42.57314	67.29391	46.357426	112.60402	-12.114611	850000	-0.0022737961	4128.255	-0.004289647	-52.29678	1.4381074	0.011304	0.08775	39.0	582.1053416728973
17	60.354588	149.00266	720.9533	-65.639946	41.906567	71.949936	47.780365	117.21788	-13.835315	900000	-0.0011226335	4574.159	-0.00413844	-50.192017	1.3994706	0.007865423	0.058689997	39.0	614.2986083030701
18	64.04151	155.51274	753.9988	-62.43837	45.625347	76.50257	47.558823	120.24115	-15.870017	950000	-0.001712909	4394.638	-0.003551417	-32.259285	1.3988411	0.0073980438	0.05686	39.0	647.8916857242584
19	76.34968	169.1238	803.1578	-69.01312	49.211254	80.90213	46.875126	123.09385	-15.339053	1000000	-0.0021838658	4783.5693	-0.0038619344	-69.37958	1.3861797	0.009192011	0.06682	39.0	683.9278349876404
20	69.50274	161.28133	942.4131	-55.60927	41.605682	87.04137	43.701427	128.76549	-7.1729045	1050000	-0.0016783271	5436.714	-0.0045568366	-86.15369	1.3631711	0.010636324	0.09904999	39.0	719.2770669460297
21	78.131714	166.00659	823.03827	-20.0	44.212257	94.00488	36.214783	133.57811	10.744209	1100000	-0.0022612736	5548.298	-0.0044959285	-150.46667	1.3816335	0.007859225	0.07285	39.0	751.8508002758026
