Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-631.1086	25.022198	-587.75726	-665.0549	1000.0	-0.045201536	0.13329095	0.34406224	-0.48752958	40000	-0.0194991	3103.181	-0.01979845	-481.6109	0.9188278	0.015493317	0.2403	6.5	102.39578151702881
1	-612.9927	25.570097	-570.3121	-646.0467	1000.0	-9.469815	0.27069694	-2.9434905	-9.80155	80000	-0.017405331	2152.2283	-0.02212403	-243.04034	0.91858387	0.015258593	0.2509875	8.0	205.03001427650452
2	-596.4308	25.140093	-560.80316	-636.9858	1000.0	-15.153313	0.34506693	-6.179883	-15.47175	120000	-0.010225691	1594.881	-0.014091488	-179.435	0.9184027	0.015827416	0.2441	5.0	307.1543471813202
3	-577.42004	23.187351	-536.9291	-612.718	1000.0	-20.031603	0.40273482	-9.594103	-20.38388	160000	-0.00949081	1142.1316	-0.009832902	-134.32843	0.91831756	0.017442435	0.2379875	3.5	410.653715133667
4	-552.469	22.109287	-518.59973	-588.5019	1000.0	-24.353922	0.43726933	-12.819266	-24.754807	200000	-0.009907261	765.63257	-0.009329185	-95.381035	0.9182271	0.017050814	0.2986125	3.5	514.3394525051117
5	-529.1994	20.900383	-497.99594	-562.7375	1000.0	-28.114725	0.47685212	-15.956106	-28.570768	240000	-0.01048509	492.47675	-0.009259481	-65.57834	0.9181589	0.017909456	0.2967	3.5	620.366043806076
6	-507.17285	17.800623	-475.9155	-533.7072	1000.0	-31.34346	0.52740985	-19.271181	-31.899317	280000	-0.0095402	299.1254	-0.00868208	-42.56406	0.91810566	0.018172793	0.2732625	3.0	724.2965450286865
7	-485.19498	16.60349	-459.65176	-517.2676	1000.0	-34.045437	0.56661606	-22.039925	-34.650967	320000	-0.008451834	166.11856	-0.010032043	-25.282932	0.9180305	0.017896567	0.30263752	3.0	829.8755068778992
8	-466.17734	16.636189	-440.3373	-500.5159	1000.0	-36.210155	0.6174875	-24.111	-36.911404	360000	-0.0071530044	86.88423	-0.007586475	-14.104763	0.9179354	0.01651539	0.2576	2.5	936.1768832206726
9	-449.26114	15.856383	-427.71603	-480.16232	1000.0	-37.88525	0.6857734	-26.185524	-38.757885	400000	-0.0060373545	40.317955	-0.008022373	-6.885558	0.9178754	0.017376278	0.276375	2.5	1043.7387733459473
10	-433.82822	14.5358305	-411.8916	-464.55182	1000.0	-39.10055	0.7671543	-27.518324	-40.14608	440000	-0.005761206	15.740491	-0.007483804	-2.7389817	0.91779125	0.01762857	0.3070125	3.0	1150.1667845249176
11	-421.45264	14.087575	-403.66302	-449.53918	1000.0	-39.894287	0.83675283	-28.415098	-41.10338	480000	-0.0073745027	5.32753	-0.00585445	-0.8470904	0.9176777	0.017987275	0.27191252	3.0	1260.219182252884
12	-411.30606	13.821512	-391.74335	-436.3311	1000.0	-40.34374	0.90546346	-28.961243	-41.726627	520000	-0.0063969903	1.8958194	-0.0060256543	-0.14836134	0.9175533	0.01576886	0.270325	3.0	1371.1582996845245
