Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2.680807	14.218464	103.18754	-64.43941	17.254671	0.1309135	0.17987299	0.53281033	-0.15900639	40000	-1.8626451e-08	229.59961	-0.008643666	-14.521599	1.7773154	0.010467929	0.062474996	39.0	22.91969871520996
1	-3.2981448	16.139433	190.27556	-74.56237	26.26004	-1.21293	2.4634724	2.249633	-4.27927	80000	1.4901161e-08	362.76013	-0.006189975	-40.154327	1.7715595	0.011159964	0.053324997	39.0	45.025474548339844
2	-6.1899714	16.688175	62.343163	-66.83517	31.725897	-5.520248	2.280823	1.8718207	-8.674905	120000	-1.1175871e-08	432.59064	-0.002776596	-77.29072	1.7428247	0.0060723284	0.055049997	39.0	67.77711272239685
3	-6.1765966	17.6781	41.41714	-65.63985	38.515472	-8.5167465	3.7913008	7.590261	-13.664315	160000	1.3038516e-08	357.20102	-0.0035350118	-31.35788	1.7332925	0.008666523	0.058524996	39.0	92.07901692390442
4	-2.9632807	18.078754	270.62885	-60.42817	30.330547	-8.088745	6.7771754	13.273973	-16.418577	200000	1.8626451e-08	337.85104	-0.004384193	-25.366688	1.7268989	0.0091002975	0.05055	39.0	114.00841522216797
5	-2.9531298	14.562375	95.689705	-62.909626	19.192104	-4.011762	7.5741014	15.692815	-16.805515	240000	1.4901161e-08	231.2474	-0.0062592914	-26.468037	1.7124959	0.010125188	0.0716	39.0	136.3233392238617
6	-2.8211217	18.137272	342.08508	-63.403038	21.039133	-0.7700845	5.23564	16.55633	-17.962152	280000	-3.7252903e-09	356.22235	-0.004629364	-35.425823	1.7163337	0.009357876	0.029399998	39.0	158.4115912914276
7	-2.423589	18.98096	185.56975	-68.1377	29.226137	-2.8083587	6.0411115	18.973408	-16.013695	320000	4.656613e-10	346.7082	-0.005414655	-25.45845	1.7132087	0.009385965	0.052825	39.0	181.63041877746582
8	-1.1003994	24.578081	432.62256	-58.628975	29.352507	-3.1265254	7.8932376	20.164898	-19.220577	360000	1.8626451e-09	500.8093	-0.0059514237	-19.653439	1.7054721	0.011066232	0.050625	39.0	203.6845121383667
9	1.1011498	35.310295	554.323	-59.424385	28.60376	-2.051081	8.990417	22.988281	-22.831081	400000	3.7252903e-09	884.0184	-0.005983606	-59.651897	1.6839932	0.01158267	0.0748	39.0	226.24544024467468
