Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-649.9619	35.352062	-602.0894	-715.4154	1000.0	-2.22515	0.25267762	-0.92341614	-3.0758898	40000	-0.012925535	2666.0625	-0.018245744	-970.9666	0.9145003	0.015711013	0.256975	5.0	89.65755772590637
1	-629.2081	37.865135	-585.8318	-701.5203	1000.0	-23.813326	0.41802555	-18.24633	-24.277195	80000	-0.010694414	1141.3755	-0.011100585	-290.6164	0.91430336	0.015565474	0.2807625	3.5	181.95720672607422
2	-607.4829	38.852512	-571.19147	-680.65265	1000.0	-33.537655	0.563834	-27.455393	-34.184578	120000	-0.009506509	562.2307	-0.008692687	-132.7729	0.91417336	0.01787113	0.26635	2.5	274.2694356441498
3	-581.6291	36.34946	-535.62964	-651.6526	1000.0	-39.860706	0.7593813	-33.833336	-40.980095	160000	-0.010370806	258.2138	-0.008569708	-60.878113	0.91407025	0.017483704	0.250225	2.0	366.9070146083832
4	-558.26697	36.84135	-518.215	-627.0389	1000.0	-44.140373	1.0053254	-38.26952	-45.772984	200000	-0.0064034015	108.98573	-0.0081070475	-25.979536	0.9139768	0.021030111	0.322825	2.0	460.5618269443512
5	-529.5353	34.930637	-499.72043	-599.0893	1000.0	-46.955624	1.3489288	-41.078735	-49.220325	240000	-0.0066758394	31.220339	-0.007948358	-7.5473537	0.91388875	0.020932628	0.3478625	2.0	574.3748331069946
6	-503.2365	32.133366	-472.31375	-564.7618	1000.0	-48.484844	1.6916075	-42.5014	-51.370125	280000	-0.009105176	5.720742	-0.008914601	-1.0840625	0.9137907	0.016590483	0.25355	1.5	689.3500015735626
7	-484.22647	30.09538	-452.32516	-545.37054	1000.0	-48.995995	2.0079107	-42.965782	-52.443447	320000	-0.0062443763	2.5203996	-0.0063985744	-0.2814499	0.91366374	0.01941466	0.3418125	1.5	804.7304923534393
8	-464.75458	26.882917	-438.8893	-515.7823	1000.0	-48.86711	2.248017	-42.79598	-52.747265	360000	-0.0056951344	5.7118225	-0.005794337	-1.2077584	0.91351557	0.02266942	0.35025	1.5	921.4403078556061
9	-447.9358	21.492462	-425.77286	-496.55453	1000.0	-48.222942	2.4040377	-42.17541	-52.378403	400000	-0.0063625546	10.054218	-0.0049541583	-2.5588288	0.9133525	0.025516842	0.36013752	1.5	1037.0033357143402
10	-433.3105	15.241259	-413.79498	-468.25226	1000.0	-47.234028	2.4102015	-41.213657	-51.39939	440000	-0.0044841245	13.055103	-0.0035747783	-3.477286	0.9131739	0.024656326	0.341275	1.5	1153.0770335197449
11	-421.86493	13.248854	-404.26038	-446.7666	1000.0	-46.0776	2.2442892	-40.187473	-49.951836	480000	-0.0036083013	12.9366	-0.0039031357	-3.6145186	0.91298807	0.019287301	0.31023753	1.5	1270.6705794334412
12	-410.99658	12.541152	-382.6913	-435.18863	1000.0	-44.875603	2.0450764	-39.12918	-48.387337	520000	-0.004882425	12.428407	-0.004719933	-3.5630805	0.9127935	0.019055564	0.2896	1.5	1385.6076273918152
13	-398.69305	12.245801	-375.95886	-419.9266	1000.0	-43.65461	1.8509971	-38.03684	-46.79973	560000	-0.003566496	11.912229	-0.0047499733	-3.588686	0.91259944	0.01878361	0.289375	1.5	1501.8814907073975
14	-388.48578	14.76933	-365.59622	-415.31207	1000.0	-42.38652	1.7114124	-36.9651	-45.25453	600000	-0.004496294	9.953974	-0.004740212	-3.1340969	0.91242135	0.021504331	0.29506248	1.5	1617.6616702079773
15	-378.1911	15.431217	-355.20184	-404.93237	1000.0	-41.154774	1.6866666	-35.792988	-43.923565	640000	-0.0049130656	9.090851	-0.0047210148	-2.8850336	0.9122529	0.019389737	0.292775	1.5	1732.8579790592194
