Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.4623168	15.6547575	40.09294	-27.284203	1000.0	-0.05267048	0.15146664	0.4666251	-0.53730136	40000	nan	nan	nan	nan	nan	nan	nan	39.0	20.974012851715088
1	17.822447	11.43959	38.704895	-20.680328	1000.0	-1.3972608	2.6758108	6.7208858	-6.2839885	80000	nan	nan	nan	nan	nan	nan	nan	22.5	40.89563584327698
2	18.59837	9.238011	37.585945	-7.641355	1000.0	-0.5328942	1.9080002	7.8973746	-5.733509	120000	nan	nan	nan	nan	nan	nan	nan	39.0	60.90882968902588
3	21.712585	6.686247	30.582098	-2.7161946	1000.0	0.032631464	1.5048863	9.230261	-4.3494067	160000	nan	nan	nan	nan	nan	nan	nan	39.0	80.58701157569885
4	22.190628	4.8001475	29.574448	2.8518941	1000.0	0.30002847	1.825258	12.313703	-4.1577153	200000	nan	nan	nan	nan	nan	nan	nan	39.0	100.37363314628601
5	24.740772	5.1470685	39.13138	14.447423	1000.0	0.44214097	2.2097635	13.731107	-3.3980675	240000	nan	nan	nan	nan	nan	nan	nan	22.0	120.31982517242432
6	31.168356	6.443186	39.29366	-0.5296978	1000.0	1.7498449	2.901289	15.578363	-5.634625	280000	nan	nan	nan	nan	nan	nan	nan	39.0	140.50168251991272
7	32.02508	4.095616	38.457077	23.095375	1000.0	1.2824413	2.4126825	16.381083	-3.597807	320000	nan	nan	nan	nan	nan	nan	nan	39.0	160.9880886077881
8	33.043793	4.745125	39.280506	18.775604	1000.0	1.1156336	2.6018288	17.515757	-3.0903006	360000	nan	nan	nan	nan	nan	nan	nan	39.0	180.79145455360413
9	33.290985	3.388661	38.774715	23.582308	1000.0	1.182828	2.6353774	18.874004	-1.5160595	400000	nan	nan	nan	nan	nan	nan	nan	39.0	200.6257848739624
10	34.627026	2.5892856	39.031326	27.836575	1000.0	1.2370734	2.7513726	19.490713	-1.2322373	440000	nan	nan	nan	nan	nan	nan	nan	39.0	220.4486870765686
11	34.69581	3.0026727	40.612194	26.95641	1000.0	1.3384625	2.897512	20.255808	-2.006744	480000	nan	nan	nan	nan	nan	nan	nan	39.0	240.3464376926422
