Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.6499604	0.05579142	0.7705109	0.5306629	1000.0	-0.12527847	0.14055355	0.47630703	-0.76898676	40000	-1.4115358e-08	0.16372976	-0.011923211	-0.16095191	0.9189447	0.006614508	0.072125	79.0	12.427267074584961
1	0.67630184	0.0904127	0.86569715	0.51435804	1000.0	0.04308434	0.022547094	0.23105398	-0.19236282	80000	-9.313226e-09	0.15766463	-0.017186925	-0.15699053	0.9140354	0.007713134	0.09985	79.0	25.089752912521362
2	0.7778624	0.0881948	0.9656242	0.5820653	1000.0	0.063077785	0.015408378	0.23088178	-0.08372122	120000	-9.313226e-09	0.1555708	-0.01769251	-0.15498838	0.9065957	0.008916709	0.115624994	79.0	37.63009452819824
3	0.8752896	0.09039462	1.0631303	0.69830674	1000.0	0.074285775	0.012731025	0.17703855	-0.17923024	160000	1.4901161e-08	0.15345739	-0.019313846	-0.15288672	0.89576876	0.008090156	0.123449996	79.0	49.668479204177856
4	1.0240208	0.12571007	1.278605	0.6934763	1000.0	0.084236644	0.010029886	0.18944195	-0.05005094	200000	2.3981556e-08	0.15073693	-0.005345332	-0.14997402	0.8855267	0.015314771	0.208825	4.0	59.100016832351685
5	1.236168	0.12660652	1.5116339	0.92999816	1000.0	0.09946808	0.008880434	0.17735708	0.011743993	240000	2.7939677e-09	0.14840129	-0.0032659837	-0.14747411	0.8845073	0.018281205	0.23715	4.0	67.53334593772888
6	1.5601715	0.14352588	1.8817918	1.2959867	1000.0	0.12072954	0.0094810575	0.19110182	-0.13852417	280000	-9.313226e-09	0.14736006	-0.005918566	-0.14606217	0.88267756	0.015072548	0.21959999	5.0	75.89490103721619
7	1.8955772	0.17657468	2.279803	1.6153729	1000.0	0.15270771	0.0084283	0.2223359	0.032092713	320000	-1.3969839e-08	0.14732572	-0.01735343	-0.14557824	0.8795175	0.0098625	0.1313	79.0	87.7618293762207
8	2.2020347	0.2121028	2.7092779	1.801941	1000.0	0.18714029	0.008763046	0.25113067	0.0599792	360000	-7.450581e-09	0.15104556	-0.016531307	-0.14864507	0.86290455	0.009912454	0.12885	79.0	100.12511086463928
9	2.459888	0.22666186	2.926483	1.9487079	1000.0	0.2201063	0.00935931	0.2735411	0.08705879	400000	1.6763806e-08	0.1547983	-0.01787763	-0.15210819	0.84579086	0.010979522	0.1422	79.0	115.50032591819763
10	3.0147703	0.34264275	3.7508278	2.1521938	1000.0	0.24640079	0.011650473	0.29267466	-0.023145095	440000	-4.656613e-09	0.1673083	-0.017055072	-0.16292796	0.8246105	0.01071476	0.13409999	79.0	127.25890135765076
11	3.3960266	0.28032005	4.1243515	2.8997514	1000.0	0.3000106	0.017788691	0.34412527	-0.011017799	480000	1.1175871e-08	0.17984916	-0.016660009	-0.17496371	0.80448157	0.011737428	0.135575	79.0	137.81140518188477
12	4.071763	0.33556968	5.0281324	3.4332569	1000.0	0.34276587	0.020933324	0.37536532	-0.009337876	520000	1.8626451e-09	0.20955959	-0.016835157	-0.20257586	0.78288424	0.010118615	0.136575	79.0	147.48176407814026
13	4.722566	0.43683133	5.871984	3.829292	1000.0	0.40753835	0.021614421	0.47224742	-0.027292766	560000	2.142042e-08	0.2496649	-0.016526405	-0.23962334	0.7603448	0.011928009	0.13425	79.0	158.5284297466278
14	5.535475	0.418431	6.579502	4.3752723	1000.0	0.4770306	0.027352596	0.5245363	0.20389348	600000	2.0721927e-08	0.3116445	-0.016880985	-0.29913515	0.7400519	0.010234414	0.13872501	79.0	169.81226754188538
15	6.367504	0.66732776	7.779432	5.027983	1000.0	0.5599924	0.034355722	0.59446484	0.040203247	640000	-2.8871e-08	0.39077467	-0.01679896	-0.37139934	0.7166854	0.010158708	0.140925	79.0	181.99311876296997
16	7.31559	0.77109104	8.643676	5.164944	1000.0	0.64668393	0.03689892	0.6975676	0.257898	680000	2.6077032e-08	0.50012934	-0.015698187	-0.47538698	0.6926448	0.010387709	0.131475	79.0	194.57909727096558
17	8.614999	0.8719482	10.326138	6.293769	1000.0	0.74310935	0.03994255	0.7968389	0.42150897	720000	1.0244548e-08	0.6797793	-0.015519896	-0.64473796	0.67010444	0.01110265	0.13495	79.0	207.01914501190186
18	10.05141	0.9309562	11.781106	7.9230175	1000.0	0.8762761	0.051511973	0.93628395	0.4752335	760000	-1.4901161e-08	0.9224758	-0.016359147	-0.87890387	0.645902	0.011032859	0.13787499	79.0	217.46167135238647
19	11.306056	1.1993641	14.177297	9.248158	1000.0	1.0241097	0.0648427	1.0871601	0.54130936	800000	1.5832484e-08	1.1771951	-0.016328719	-1.1263692	0.6229049	0.010253981	0.13095	79.0	227.18070650100708
20	12.548752	1.2208899	16.141682	9.985282	1000.0	1.1565728	0.08834489	1.2389506	-0.33714852	840000	-6.519258e-09	1.4674668	-0.016143983	-1.400683	0.5987456	0.009276504	0.13805	79.0	237.91872262954712
21	14.74705	1.3504466	17.017202	11.730218	1000.0	1.2903666	0.08443348	1.3727386	0.32669175	880000	-2.6077032e-08	2.047361	-0.016246477	-1.9489809	0.5737742	0.012283396	0.144425	79.0	249.05545949935913
22	17.336214	1.6545696	20.329449	14.034727	1000.0	1.5090305	0.10170681	1.6177943	0.7425876	920000	-4.4703484e-08	2.8721223	-0.014910115	-2.7230356	0.5477236	0.009350988	0.1295	79.0	261.1419470310211
23	19.363026	1.8703126	23.12364	15.818326	1000.0	1.768992	0.122278415	1.8809994	0.83067805	960000	1.8626451e-09	3.6572566	-0.016816642	-3.4791055	0.525809	0.013083961	0.14315	79.0	273.9729437828064
24	22.272614	2.168492	28.442429	17.806442	1000.0	1.9892539	0.14307974	2.1426911	1.009228	1000000	1.4901161e-08	4.866678	-0.01687109	-4.639529	0.5010501	0.012032756	0.1416	79.0	285.7496862411499
25	25.587238	2.585116	30.959076	18.66854	1000.0	2.2826982	0.16206366	2.419282	0.074972734	1040000	-7.450581e-09	6.5959954	-0.016288595	-6.2604556	0.47545162	0.012191943	0.13665	79.0	295.73090744018555
26	28.569763	2.6990013	34.417374	23.371538	1000.0	2.6317348	0.23285769	2.823509	0.5296173	1080000	-2.8871e-08	8.357412	-0.017419519	-7.969502	0.45441282	0.011754306	0.14645001	79.0	305.43868947029114
27	32.887596	3.77876	40.693687	26.19727	1000.0	2.9613535	0.23834825	3.1621795	1.2904363	1120000	-5.5879354e-09	11.136853	-0.016866894	-10.554602	0.42917943	0.010087279	0.1459	79.0	316.08020067214966
28	38.365456	4.7451673	47.311153	27.997332	1000.0	3.3851407	0.2755561	3.5933497	0.26088414	1160000	-2.0489097e-08	15.3965435	-0.016937744	-14.557543	0.40381378	0.011603153	0.13697499	79.0	327.8692491054535
29	43.58007	4.1760483	52.72788	33.49404	1000.0	3.955553	0.34532142	4.1767535	0.54994094	1200000	-1.8626451e-08	19.87564	-0.016293801	-18.892382	0.3817496	0.009656369	0.136325	79.0	339.72906017303467
30	49.14844	4.251582	58.747646	39.478703	1000.0	4.4842763	0.34443048	4.754786	1.3089045	1240000	-1.8626451e-09	25.398724	-0.017330088	-24.088955	0.3587979	0.011191972	0.14895	79.0	350.78325152397156
31	54.976707	6.3994184	69.42622	41.29579	1000.0	5.051622	0.33575338	5.3067613	2.3012033	1280000	1.21071935e-08	32.44817	-0.016698092	-30.670738	0.33520728	0.0121349245	0.132325	79.0	361.5075685977936
32	62.3526	7.0618143	80.78441	48.75992	1000.0	5.6775165	0.4602713	5.998839	2.3793807	1320000	-1.0244548e-08	42.09406	-0.017254965	-39.91156	0.3158685	0.0119716	0.14819999	79.0	371.1893193721771
33	70.853424	7.8897166	83.92391	54.404877	1000.0	6.4439845	0.5875281	6.8784904	1.2625024	1360000	0.0	54.342697	-0.016930537	-51.75003	0.29140678	0.0105765425	0.1361	79.0	381.8212354183197
34	78.203896	7.791059	91.57613	60.27435	1000.0	7.3181686	0.64124095	7.74581	1.937134	1400000	-2.4680048e-08	66.93998	-0.01675301	-63.850094	0.26821002	0.012072166	0.13912499	79.0	393.8708984851837
35	88.021484	9.611077	109.70619	69.98744	1000.0	8.112539	0.710561	8.557259	0.31232375	1440000	3.7252903e-09	85.44671	-0.01611877	-81.196075	0.24541879	0.011668019	0.13332501	79.0	406.10342836380005
