Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37.775047	2.4610403	42.270596	30.430346	974.975	0.1446277	0.12434018	0.5390946	-0.20177783	40000	3.4831464e-07	13.051086	-0.009793244	-12.092949	0.9189437	0.007610141	0.088075	79.0	10.169562578201294
1	41.924114	2.654018	46.426006	32.85524	981.825	3.3309305	0.3785337	4.37748	1.2932539	80000	-1.1175871e-08	17.712778	-0.0072238105	-17.337334	0.89778674	0.0058725094	0.06485	79.0	19.4390926361084
2	44.554207	2.745853	49.602448	35.08777	985.5	4.083549	0.28994006	4.864508	2.1933892	120000	-3.7252903e-09	20.242113	-0.008097112	-19.8933	0.880469	0.006323372	0.07385	79.0	28.923203229904175
3	47.417282	2.5214927	53.004215	41.318245	987.0	4.374829	0.2584769	5.0146775	1.7975943	160000	-2.7939677e-09	22.907536	-0.009163518	-22.559036	0.86572325	0.006244	0.080825	79.0	42.39253044128418
4	50.06425	3.2293775	54.785122	40.126015	980.625	4.6572895	0.31249565	5.271463	0.55115145	200000	2.4447218e-09	25.478504	-0.0087563	-25.089542	0.844418	0.0069862925	0.07685	79.0	51.262831926345825
5	54.248333	2.792869	60.858784	46.98726	985.675	4.925342	0.3955896	5.7213173	-0.71940666	240000	1.2572855e-08	29.55425	-0.008856385	-29.146563	0.8236081	0.007060679	0.077250004	79.0	60.76977491378784
6	56.148193	4.620323	62.70072	42.514996	968.2	5.2827907	0.50290245	6.133433	-0.7795972	280000	1.5133992e-08	32.393143	-0.009260711	-31.939205	0.80125237	0.0083961	0.07755	79.0	70.54099988937378
7	62.38627	4.0941343	71.56608	49.118332	982.575	5.6051607	0.49703875	6.6175675	-0.2378726	320000	-1.0244548e-08	39.23095	-0.009562166	-38.77011	0.77709794	0.007735524	0.081324995	79.0	79.32078814506531
8	66.95629	3.769036	74.23162	58.535152	983.6	6.124874	0.527564	7.0035954	-0.8306232	360000	-3.1664968e-08	45.176582	-0.009499339	-44.665745	0.75315356	0.007780162	0.078975	79.0	89.74561667442322
9	70.47246	4.0702195	78.16338	60.088676	989.1	6.588622	0.5618216	7.4905205	-0.65936065	400000	1.1175871e-08	49.615013	-0.0092107495	-49.054737	0.730271	0.007290622	0.075925	79.0	99.42280530929565
10	74.08498	6.124729	82.9778	59.959816	973.275	6.865834	0.7707073	8.02873	-0.7778981	440000	3.7252903e-09	55.833153	-0.009311016	-55.11515	0.70686674	0.006643343	0.0737	79.0	108.31689643859863
11	78.26576	4.316377	87.097786	62.482643	982.75	7.295552	0.86106604	8.60305	-0.45214453	480000	2.2351742e-08	61.049755	-0.009127278	-60.37333	0.68507737	0.006822164	0.07445	79.0	118.81714081764221
12	85.957924	4.8676867	94.712494	72.00507	989.525	7.680188	0.7731347	8.833859	-0.20846453	520000	-1.3038516e-08	72.60967	-0.009501863	-71.76836	0.66341925	0.008075099	0.0751	79.0	127.86529636383057
13	89.73848	4.8254166	101.12507	76.45771	987.45	8.35599	0.96217924	9.478544	-0.37962222	560000	4.656613e-09	79.93103	-0.009403145	-79.00419	0.6388558	0.0069889785	0.07619999	79.0	136.38494729995728
14	95.67675	5.8043084	104.09191	78.648796	984.2	8.7679	0.9567371	9.9914665	-0.19844294	600000	6.519258e-09	91.39987	-0.008959078	-90.41838	0.61389256	0.006424774	0.0719	79.0	146.59387493133545
15	98.774536	6.563881	114.800415	79.2376	976.75	9.327617	1.1474646	10.495023	-0.086004645	640000	1.3969839e-09	98.45654	-0.009496117	-97.341736	0.5927952	0.0067351675	0.075325	79.0	155.7798388004303
16	107.07644	4.044865	116.61995	98.44469	992.525	9.872234	0.86446303	10.875507	0.4794829	680000	-4.656613e-09	113.33026	-0.008632969	-112.18611	0.5719486	0.007587172	0.069299996	79.0	165.41248559951782
17	112.60425	8.125288	126.36434	77.8531	988.95	10.40394	1.1276246	11.514797	-0.63683325	720000	1.4901161e-08	125.85978	-0.008854	-124.13469	0.54992914	0.007084012	0.071624994	79.0	174.95112466812134
18	117.96999	6.9809785	131.65402	100.61877	989.425	11.05035	1.0726783	12.191659	-0.07906343	760000	3.259629e-09	139.53923	-0.00737819	-137.98929	0.5296529	0.004775008	0.056625	79.0	183.66767930984497
19	123.003006	7.7000656	134.79424	103.21134	982.125	11.537745	1.3941644	12.814392	0.06311458	800000	-2.7939677e-09	151.80817	-0.009034138	-150.03674	0.51244843	0.0062374235	0.06735	79.0	194.13682579994202
20	126.998245	9.651879	144.0869	95.15789	978.125	12.115261	1.3906528	13.516452	0.0926545	840000	-3.7252903e-09	162.45786	-0.008232633	-160.6861	0.49065945	0.007225304	0.063175	79.0	203.53405332565308
21	133.33298	10.105789	150.41304	108.82905	981.35	12.51291	1.4781517	14.008559	-0.11321691	880000	7.450581e-09	179.15417	-0.00843706	-176.82155	0.4695143	0.0076703783	0.067475	79.0	212.503333568573
22	138.92136	9.209536	154.81244	113.91771	979.4	13.066102	1.7803663	14.7383995	0.33203477	920000	1.3038516e-08	192.25851	-0.009362242	-189.8352	0.44653803	0.0072195367	0.073475	79.0	222.7842743396759
23	147.33322	11.139071	168.86595	118.17288	985.875	13.775087	1.4321991	15.318959	0.46909863	960000	1.5832484e-08	218.7229	-0.007840904	-215.63766	0.4218235	0.006394121	0.056900002	79.0	232.00632405281067
24	152.80772	13.28626	169.776	103.92814	978.275	14.495014	1.6428888	16.099998	-0.2631746	1000000	2.9802322e-08	238.19495	-0.007943822	-234.81291	0.39902937	0.0055643683	0.061199997	79.0	240.56070733070374
25	156.85242	12.561758	175.96127	126.40536	975.0	15.122306	1.862111	16.908451	0.0107007325	1040000	9.313226e-10	251.97684	-0.0073817763	-248.3322	0.38009337	0.0064541213	0.058825	79.0	250.71980047225952
26	164.37991	14.708501	184.8974	110.29436	983.0	15.520259	2.0099392	17.359686	0.49906635	1080000	4.656613e-10	274.06937	-0.007921103	-269.4418	0.35984522	0.006856717	0.06655	79.0	259.62404465675354
27	171.28972	12.894711	190.44226	132.06732	988.675	16.392855	1.7551316	18.132965	-0.16138858	1120000	1.3038516e-08	296.42316	-0.008047567	-291.897	0.34036797	0.0065948535	0.062300004	79.0	268.45094323158264
28	176.57104	11.277887	202.8137	147.34157	987.35	16.773392	2.068078	18.745993	-0.48225608	1160000	-1.8626451e-09	313.51212	-0.007693122	-308.52563	0.31765175	0.006302394	0.0671	79.0	278.4137854576111
29	180.85652	13.376429	203.22455	145.38335	986.625	17.302612	2.1393414	19.139238	0.37421882	1200000	2.7939677e-09	330.1329	-0.008105541	-324.9017	0.3014173	0.006376635	0.060850002	79.0	285.944495677948
30	189.17616	14.685434	215.3338	145.84924	980.0	17.980173	1.9497755	19.749376	-0.103471905	1240000	2.2351742e-08	366.08197	-0.0076804385	-360.60727	0.28342244	0.0061729215	0.058650002	79.0	296.3101718425751
