Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.00051600323	0.00010153153	0.0007862771	0.00031774986	1000.0	-0.097991586	0.19218637	0.64098316	-0.8461385	40000	1.2805685e-09	0.045521457	-0.036805525	-0.043197747	0.9189453	0.015009875	0.2326	32.0	14.025337219238281
1	0.0005194902	8.507689e-05	0.0007735884	0.00036590034	1000.0	-0.010511894	0.017420297	0.10156912	-0.09818169	80000	-5.2386895e-09	0.04296837	-0.034165047	-0.042805348	0.9180216	0.015010366	0.22340001	31.0	28.581028938293457
2	0.00051248336	9.099854e-05	0.000687476	0.0003522842	997.6	-0.0005163041	0.012306908	0.063678466	-0.062211692	120000	-1.2805685e-09	0.043061882	-0.033266	-0.04296138	0.9176439	0.015115318	0.22455001	31.0	42.65309476852417
3	0.00052743667	7.991256e-05	0.00070917176	0.00030997524	1000.0	4.8551587e-06	0.009798782	0.06047091	-0.06380302	160000	3.958121e-09	0.043502674	-0.024356904	-0.04343062	0.91549355	0.015080912	0.206925	15.0	55.46964168548584
4	0.0004950886	8.4003186e-05	0.0007816448	0.00035629657	1000.0	0.00010519045	0.008360398	0.04384599	-0.056399927	200000	9.313226e-09	0.04393711	-0.029716965	-0.043882105	0.9149241	0.015036492	0.21485001	24.0	68.44513845443726
5	0.0005586514	9.397348e-05	0.00078479986	0.0003981003	997.6	0.00029041828	0.0071450346	0.038453296	-0.053443335	240000	-1.5366822e-08	0.04377399	-0.031542137	-0.043733157	0.9122819	0.0150730945	0.21509999	26.0	81.7667076587677
6	0.00055575254	0.00012476042	0.00097161456	0.0003640248	997.6	0.00015317943	0.0062882095	0.033092476	-0.03408417	280000	4.656613e-10	0.04331465	-0.03109837	-0.043282557	0.9113758	0.015045798	0.21385	26.0	96.03551888465881
7	0.00054566516	0.0001066289	0.0007702385	0.00032734827	997.6	0.00020335548	0.0055894353	0.04068394	-0.034085825	320000	-6.9849193e-09	0.04228929	-0.024281576	-0.042262968	0.9103704	0.015194897	0.20035	15.0	109.53532528877258
8	0.000548827	8.938624e-05	0.0007636235	0.00038987116	997.6	0.00013821814	0.005135401	0.03022603	-0.025237992	360000	1.8626451e-09	0.04323657	-0.033721447	-0.04321502	0.9095033	0.015037809	0.2306	29.0	124.22979617118835
9	0.0005441459	0.0001078652	0.0007775797	0.000321708	1000.0	4.1364954e-05	0.0046470948	0.02514522	-0.027735902	400000	1.2805685e-09	0.04327744	-0.032186687	-0.043258883	0.9084271	0.01513526	0.22065	28.0	138.29594922065735
10	0.0005673165	9.370158e-05	0.0008694112	0.00043095034	1000.0	-1.7983073e-05	0.0042139036	0.025419472	-0.026216814	440000	0.0	0.043438166	-0.03670565	-0.04342298	0.90664107	0.015103746	0.23719999	39.0	149.52264761924744
11	0.00060348556	9.9604884e-05	0.00083943683	0.00039438493	1000.0	2.7905477e-05	0.0039077145	0.026281944	-0.02238912	480000	-5.8789738e-09	0.043832816	-0.02973987	-0.043819323	0.90443814	0.015055023	0.213925	22.0	160.02886056900024
12	0.0005618314	9.511371e-05	0.0008789476	0.00040131906	997.6	0.00038157066	0.0038043556	0.017605936	-0.01909955	520000	-6.679329e-09	0.043385755	-0.028659213	-0.043374643	0.9037953	0.015050415	0.2142	21.0	170.16173148155212
13	0.0005876556	0.00013169704	0.0011174417	0.00037669597	1000.0	-4.5961514e-07	0.0032967571	0.025120169	-0.020888377	560000	1.2572855e-08	0.043493398	-0.023619335	-0.04348319	0.90129447	0.015339015	0.21184999	15.0	180.38600325584412
14	0.0006042965	0.000104479266	0.00094462745	0.00042413702	995.2	0.00020114092	0.0031880399	0.017608022	-0.020696206	600000	-1.5716068e-09	0.043606628	-0.02071599	-0.043598004	0.901685	0.015634004	0.202925	13.0	190.48947405815125
15	0.00059792754	0.00011283335	0.00084000075	0.00040401606	1000.0	0.00018983273	0.0029205563	0.014785195	-0.018095536	640000	1.5366822e-08	0.0437964	-0.031608753	-0.04378874	0.90165174	0.015126426	0.21895	29.0	201.1980288028717
16	0.0006261483	0.00012588501	0.0009510612	0.00036855176	997.6	0.00011875887	0.0027466603	0.01468491	-0.014471887	680000	8.20728e-09	0.04306938	-0.032636918	-0.04306271	0.8996841	0.015124868	0.231875	27.0	211.61426496505737
17	0.00060161675	0.00011553486	0.00088365667	0.0004353098	1000.0	4.0661947e-05	0.0026210889	0.01741857	-0.017484333	720000	9.313226e-10	0.043224897	-0.023886457	-0.043216266	0.89814717	0.015101936	0.20575	15.0	222.03445196151733
18	0.0006201708	8.8621775e-05	0.0008395771	0.00047258253	995.2	-0.0001694919	0.0028604546	0.013492996	-0.014311941	760000	5.5879354e-09	0.044183955	-0.022590213	-0.044178486	0.8967155	0.015615976	0.2037	14.0	231.15813398361206
19	0.0006295012	0.00011440597	0.00088763883	0.000442435	1000.0	3.867825e-05	0.002304465	0.017611634	-0.012697842	800000	5.9371814e-09	0.043480396	-0.03364394	-0.043475136	0.8951208	0.015087959	0.2272	31.0	241.14215087890625
20	0.00066801807	0.00012200901	0.00097309786	0.000349634	1000.0	-7.0272545e-05	0.0023370679	0.012048414	-0.015228137	840000	1.2805685e-08	0.043079015	-0.021890555	-0.043074418	0.8923989	0.015206331	0.206325	12.0	250.60999274253845
21	0.00064233213	0.00013389008	0.001110596	0.00036824093	1000.0	-3.8815497e-06	0.0021053904	0.010120079	-0.014516614	880000	-9.837095e-09	0.043590233	-0.024768366	-0.043578543	0.89191896	0.015016865	0.222875	16.0	260.3774907588959
22	0.0006491122	0.00011264999	0.0009242971	0.00043942794	1000.0	-0.00026059855	0.005131279	0.014916183	-0.017287465	920000	9.138603e-09	0.04251033	-0.025000885	-0.042505592	0.89122736	0.015179032	0.20052499	17.0	269.1869761943817
23	0.0006670874	0.00015474921	0.0011956703	0.0003825259	1000.0	-9.5792486e-05	0.0019111568	0.009464772	-0.01266651	960000	-8.614734e-09	0.04306083	-0.018037852	-0.04305727	0.88991773	0.015204096	0.19590001	10.0	278.680538892746
24	0.00069978286	0.00013633058	0.0011348488	0.00047075632	1000.0	5.2149397e-05	0.0018373254	0.0127914995	-0.013485873	1000000	1.8626451e-09	0.042810936	-0.03446322	-0.042807862	0.89053243	0.015034962	0.226925	32.0	288.94940090179443
25	0.0006837926	0.00013507079	0.0011079544	0.0003854306	1000.0	6.716265e-05	0.0017448376	0.009507658	-0.013198258	1040000	6.2864274e-09	0.043069378	-0.029459007	-0.043066207	0.89103603	0.015053075	0.2184	21.0	298.84399676322937
26	0.00062240683	0.00011800364	0.0009009273	0.00042259076	1000.0	1.7806055e-05	0.0017218475	0.008700589	-0.00979406	1080000	1.6996637e-08	0.042877454	-0.02238483	-0.04286854	0.8913999	0.01515789	0.2077	14.0	308.32661485671997
27	0.0006837975	0.00013670191	0.0010290514	0.00044908494	1000.0	-0.0005408924	0.0034430535	0.0117684305	-0.012937501	1120000	-4.3364707e-09	0.04313241	-0.02181181	-0.043129463	0.89032966	0.01515002	0.19435	14.0	318.6512129306793
28	0.00061309553	8.904702e-05	0.0008761202	0.0003969965	1000.0	2.2932833e-05	0.0015631246	0.009472581	-0.009374626	1160000	1.8626451e-09	0.043302003	-0.026863197	-0.043299742	0.8895796	0.015148074	0.21665001	19.0	328.72321009635925
29	0.00066113134	0.00012719349	0.0009927005	0.0004551116	1000.0	6.369095e-05	0.0014992941	0.0076140556	-0.0106452	1200000	2.0954758e-09	0.043036386	-0.022791274	-0.043033317	0.8882588	0.015042119	0.2012	14.0	338.5781424045563
30	0.0006580402	0.00013354207	0.0012471284	0.0004435785	1000.0	6.408424e-05	0.0014895786	0.009253453	-0.008849401	1240000	4.4237822e-09	0.043338463	-0.03480301	-0.043336555	0.88782775	0.01502399	0.23144999	32.0	349.1221568584442
31	0.0007034658	0.00014812913	0.0011091895	0.00041084556	1000.0	5.8085407e-05	0.0013917227	0.007228827	-0.009913379	1280000	-1.967419e-08	0.04355626	-0.024457216	-0.043554373	0.88712543	0.015026233	0.2171	15.0	358.52196741104126
32	0.00066487247	9.679634e-05	0.0008696653	0.00045301518	997.6	0.00019113715	0.0014241465	0.007411279	-0.009524377	1320000	-1.6298145e-09	0.042925697	-0.023223955	-0.04292401	0.8861266	0.015115003	0.2143	14.0	367.90572452545166
33	0.00071273523	0.00017383906	0.0013489699	0.0004367122	1000.0	7.708311e-05	0.0012928159	0.0065495055	-0.008400409	1360000	-1.21071935e-08	0.043235444	-0.025009137	-0.043233838	0.88432574	0.0150092635	0.208775	17.0	382.1143698692322
34	0.0007072227	0.00012202376	0.0010615756	0.0005220441	1000.0	8.3011684e-05	0.0012368048	0.006473927	-0.007259229	1400000	-6.9849193e-09	0.042629994	-0.025088541	-0.042627677	0.8831939	0.015053779	0.2209	16.0	394.8060848712921
35	0.0006700229	0.00012202349	0.000958749	0.00039562024	1000.0	0.00022230139	0.0013881918	0.007367952	-0.009977816	1440000	-1.1525117e-08	0.042916402	-0.020888105	-0.042914875	0.8825274	0.015067892	0.20935	12.0	403.68957471847534
36	0.0007081118	0.00013280273	0.0010402245	0.00040620312	995.2	8.24313e-05	0.001236643	0.0064368974	-0.005821267	1480000	-1.0477379e-09	0.04268783	-0.02282271	-0.04268157	0.8810072	0.015338895	0.21285	14.0	412.8800754547119
