Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-199.23474	16.579918	-162.6389	-237.05315	1000.0	-7.661993	1.789282	-4.972652	-15.460064	40000	2.89917e-08	123.3131	-0.0042620758	-104.35818	0.41492462	0.015694061	0.255825	3.0	275.4102449417114
1	-173.87329	12.399403	-153.16187	-205.76996	1000.0	-15.584531	2.7013698	-9.235366	-20.434721	80000	-1.0299683e-08	14.400516	-0.006766222	-4.476083	0.41402942	0.007489778	0.077925	79.0	565.5478737354279
2	-171.25081	10.904085	-148.45352	-193.25735	1000.0	-15.740724	1.8543499	-10.244744	-20.29397	120000	3.8146972e-10	9.381589	-0.004286274	-2.5160217	0.39730495	0.007449527	0.057225	79.0	853.9124457836151
3	-174.61264	10.823093	-152.05423	-198.5309	1000.0	-15.887425	1.3174033	-11.12788	-20.116068	160000	-2.6226044e-10	8.579342	-0.0033595297	-1.8798695	0.38260877	0.005319679	0.03785	79.0	1137.5346767902374
4	-171.16353	12.498159	-149.32675	-203.81696	1000.0	-16.57825	0.85867083	-12.057846	-20.240692	200000	0.0	7.9457	-0.0032577927	-0.7080612	0.3623831	0.0061765383	0.04655	79.0	1424.3800497055054
5	-161.15823	10.522422	-137.51262	-181.48013	1000.0	-16.310406	0.63892543	-12.248012	-19.941946	240000	-2.2888184e-08	6.947087	-0.003963849	-1.0890951	0.34585625	0.00558815	0.035025	79.0	1711.1252608299255
6	-149.66211	11.17449	-128.74251	-174.70651	1000.0	-15.41117	0.55330366	-12.412003	-19.225996	280000	1.525879e-08	6.4041576	-0.0042018923	-1.3767858	0.32375023	0.004290557	0.025025	79.0	1998.535099029541
7	-142.25555	8.528697	-127.211395	-162.4979	1000.0	-14.234278	0.5525458	-11.501621	-18.442581	320000	2.1362304e-08	4.0821466	-0.0036884889	-0.49459505	0.29701537	0.0031212827	0.02475	79.0	2285.392138004303
8	-138.51306	8.092292	-124.13863	-154.60217	1000.0	-13.529544	0.56151795	-11.209541	-17.977146	360000	-2.670288e-09	3.5923843	-0.004139046	-0.20861006	0.26897827	0.004115291	0.02985	79.0	2572.622281551361
9	-129.58018	7.7197413	-115.817955	-146.15039	1000.0	-13.084077	0.57220787	-10.789113	-17.717236	400000	-1.9073486e-08	3.8886406	-0.005893109	-0.62340117	0.24329318	0.005395368	0.042575	79.0	2859.2290098667145
10	-127.547104	9.362576	-112.997795	-151.10318	1000.0	-12.311088	0.5881143	-10.980352	-17.177794	440000	3.8146974e-09	3.3767922	-0.0049275304	-0.06757426	0.2141517	0.004676315	0.0404	79.0	3148.403188943863
11	-120.13686	7.9963303	-100.79977	-140.4715	1000.0	-12.053078	0.58363605	-10.989657	-17.017025	480000	2.1362304e-08	3.187183	-0.0040048463	-0.45209765	0.18860221	0.0035720794	0.0245	79.0	3439.9575502872467
12	-115.89293	6.601554	-102.39914	-135.23822	1000.0	-11.398992	0.5654795	-9.97085	-16.39226	520000	7.629395e-09	2.4544988	-0.004857457	-0.2721188	0.16232818	0.004355727	0.035625	79.0	3732.018001794815
13	-110.95308	7.997471	-94.58598	-132.68779	1000.0	-10.899062	0.5744641	-9.886151	-16.07892	560000	2.4414062e-08	3.1397808	-0.0027635766	-0.24445343	0.13522643	0.0020173201	0.015025	79.0	4020.8125002384186
14	-107.78196	6.216597	-96.5628	-122.990105	1000.0	-10.413612	0.60126	-9.571027	-15.810867	600000	-3.3140182e-09	2.3479946	-0.0046540867	-0.11420584	0.11405683	0.003926949	0.033	79.0	4314.831463575363
15	-105.35421	8.720416	-90.651276	-133.57013	1000.0	-10.09171	0.58071244	-8.732522	-15.454097	640000	-3.0517577e-09	2.8064005	-0.0029565492	-0.12422681	0.08588321	0.0031751823	0.016875	79.0	4606.881425619125
