Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-646.5391	30.219698	-602.75574	-699.7637	1000.0	0.04056977	0.0977247	0.47530445	-0.3742211	40000	1.3783574e-07	3570.1323	-0.042582788	-592.6474	0.9189385	0.015070913	0.25147498	16.0	97.55895018577576
1	-632.0384	30.128145	-588.4584	-689.77515	1000.0	-5.450275	0.47058266	-0.91500765	-6.474554	80000	-3.054738e-07	2851.882	-0.039993364	-414.79395	0.9185014	0.015370969	0.253025	19.0	228.2470314502716
2	-615.166	29.138805	-580.38464	-673.30524	1000.0	-9.680099	0.35529324	-2.8536696	-10.165454	120000	5.9604645e-08	2295.474	-0.042247806	-267.11447	0.9178901	0.015267174	0.27775002	21.0	364.8872170448303
3	-598.8097	30.342186	-564.9662	-665.0313	1000.0	-12.705449	0.36326087	-4.5101204	-13.133029	160000	1.5646219e-07	1901.9438	-0.04398239	-215.08737	0.9172253	0.015335167	0.280825	22.0	507.9133002758026
4	-582.6763	31.048363	-553.69586	-644.86707	1000.0	-15.382037	0.38223463	-6.092029	-15.780679	200000	-5.2154064e-08	1574.4008	-0.0470252	-179.32538	0.91623056	0.01504738	0.28477502	24.0	643.5523798465729
5	-571.96356	34.59592	-541.96936	-636.26025	1000.0	-17.8355	0.40677378	-7.650762	-18.208998	240000	9.983778e-07	1329.1971	-0.04840476	-153.97768	0.9156071	0.0151508115	0.2942	26.0	791.1058797836304
6	-557.23846	33.6782	-529.5055	-619.9665	1000.0	-20.130209	0.4309987	-9.225046	-20.459127	280000	8.940697e-08	1089.0508	-0.052951835	-129.66446	0.9150714	0.015086081	0.32369998	32.0	938.9747807979584
7	-542.5697	32.682796	-510.33337	-601.4233	1000.0	-22.26848	0.46330908	-10.780871	-22.582354	320000	-8.940697e-08	880.0012	-0.053272597	-108.25839	0.9144889	0.015137921	0.32454997	32.0	1074.142585515976
8	-531.6974	33.105328	-502.3042	-593.39966	1000.0	-24.255615	0.50477725	-12.302568	-24.660158	360000	-2.3841858e-07	720.7666	-0.05438777	-91.19339	0.9135356	0.015277282	0.333275	32.0	1210.2787065505981
9	-519.1233	28.635227	-489.3065	-573.04504	1000.0	-26.108654	0.5495285	-13.809783	-26.618866	400000	3.874302e-07	573.76935	-0.023053173	-75.233215	0.9131268	0.015512586	0.27934998	8.0	1338.7643356323242
10	-500.17194	30.938591	-474.75235	-567.3148	1000.0	-27.826254	0.5812915	-15.300229	-28.419252	440000	1.0430813e-07	427.29816	-0.017514728	-58.304443	0.9129064	0.01745981	0.27934998	6.0	1474.8775441646576
11	-482.12003	28.843208	-452.10645	-537.81964	1000.0	-29.370544	0.62068725	-16.699362	-30.078857	480000	-1.937151e-07	307.88226	-0.014659237	-43.549015	0.9127201	0.017106012	0.294025	5.0	1608.5766208171844
12	-463.78638	26.01802	-437.09393	-517.98627	1000.0	-30.733362	0.6638208	-18.001734	-31.56174	520000	1.1920929e-07	213.40988	-0.012128729	-31.398933	0.912638	0.018705223	0.306275	5.0	1752.6073815822601
13	-446.27832	22.920902	-423.89404	-494.36142	1000.0	-31.915688	0.7013024	-19.201132	-32.856018	560000	2.0861626e-07	141.15468	-0.012165159	-21.666805	0.91254085	0.01832541	0.30877498	5.0	1895.6262753009796
14	-432.14536	17.907135	-408.60495	-471.6602	1000.0	-32.920704	0.73070663	-20.287209	-33.953236	600000	7.4505806e-08	92.27299	-0.012119636	-14.76457	0.91237664	0.018904138	0.30462497	5.0	2032.3540127277374
15	-418.96924	14.518052	-400.98892	-449.7852	1000.0	-33.769608	0.7453735	-21.249805	-34.85177	640000	-1.7136335e-07	58.056202	-0.012540324	-9.604794	0.912162	0.017694421	0.27105	4.0	2160.056322336197
16	-407.37872	14.394011	-385.5929	-439.02664	1000.0	-34.47149	0.7520276	-22.071196	-35.58082	680000	2.9802322e-08	35.316948	-0.008885591	-5.9640536	0.91194344	0.017041828	0.29587498	4.0	2304.520395755768
17	-398.11603	10.517606	-383.19827	-418.2523	1000.0	-35.03642	0.7588636	-22.705551	-36.16977	720000	1.8626451e-07	20.782673	-0.009644182	-3.6089573	0.9117062	0.018181372	0.281725	4.0	2446.020958185196
18	-388.46173	11.9430065	-367.8774	-416.35596	1000.0	-35.485237	0.7496836	-23.250605	-36.61176	760000	-7.450581e-09	11.133856	-0.009188967	-1.9060313	0.9115002	0.019524194	0.289425	4.0	2572.102910757065
19	-377.43063	11.762686	-355.45267	-398.90234	1000.0	-35.81897	0.7552253	-23.687674	-36.954174	800000	0.0	4.57205	-0.008149131	-0.7098684	0.9113531	0.017961275	0.29114997	4.0	2711.9019844532013
20	-367.33463	10.173	-350.62192	-387.54288	1000.0	-36.027573	0.7701185	-24.0028	-37.17955	840000	2.2351742e-08	1.6236274	-0.00950072	-0.13031042	0.91120976	0.017539743	0.2846	4.0	2846.5475840568542
21	-359.90424	12.347359	-339.9429	-383.7983	1000.0	-36.119022	0.7838322	-24.243977	-37.281273	880000	7.450581e-09	1.3615642	-0.008510932	-0.046782315	0.9110842	0.019870393	0.30944997	4.0	2975.9311656951904
22	-352.11688	12.830745	-332.7271	-378.92838	1000.0	-36.120808	0.8107402	-24.394192	-37.30813	920000	-1.4901161e-08	2.0988505	-0.0075152777	-0.17242295	0.91092265	0.019891	0.286775	4.0	3126.493777990341
23	-343.82416	13.533286	-320.7527	-367.06042	1000.0	-36.038555	0.8502452	-24.463583	-37.275402	960000	-2.9802322e-08	3.783035	-0.008403102	-0.531052	0.9107758	0.019316874	0.291475	4.0	3267.2396697998047
24	-335.13785	14.500187	-309.21158	-358.85065	1000.0	-35.870655	0.8997201	-24.47337	-37.167904	1000000	1.4901161e-08	6.3723993	-0.0075819604	-1.0989475	0.91061735	0.016151577	0.28864998	4.0	3403.319086790085
25	-325.47983	15.373205	-298.58542	-350.8915	1000.0	-35.615646	0.95569104	-24.440832	-36.986084	1040000	-8.940697e-08	9.905683	-0.009228641	-1.8771279	0.9104553	0.017280342	0.312275	5.0	3525.70800614357
26	-317.8305	15.558626	-284.37952	-342.69806	1000.0	-35.270836	1.0227993	-24.335018	-36.72619	1080000	8.195639e-08	11.803989	-0.01037031	-2.4370444	0.91025156	0.017300628	0.285875	5.0	3660.3932988643646
