Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2.897834	16.579992	233.91115	-62.09119	17.94773	-0.011481453	0.08876058	0.25723612	-0.22304088	50000	-0.0049476568	361.13837	-0.005637154	-20.470001	1.7664584	0.011822496	0.11315999	39.0	28.427026987075806
1	-2.5296528	18.689749	264.90433	-70.55445	24.753977	-2.085764	3.5694013	7.462323	-7.630483	100000	-0.0033987295	375.29962	-0.005769971	-36.612717	1.7534564	0.011232157	0.08627	39.0	59.018131732940674
2	-2.6354427	22.957336	351.20612	-67.84859	31.640944	-5.3120656	7.8749895	16.273823	-16.821991	150000	-0.0025512911	437.7303	-0.0056934906	-16.35386	1.7364872	0.0071406625	0.06796999	39.0	88.22833514213562
3	-3.1556966	20.219936	286.39124	-70.72164	33.140186	-7.1972327	9.328806	19.555323	-21.097815	200000	-0.003806368	338.53284	-0.0038878752	-18.335663	1.7311419	0.01412919	0.08277	23.0	117.22102236747742
4	-2.1655934	18.72733	274.76996	-58.570797	20.788815	-3.0026503	9.372994	23.373756	-24.187931	250000	-0.00367051	334.3937	-0.0049558803	-10.336115	1.7318094	0.010492861	0.09733	39.0	147.30536437034607
5	0.5456394	27.839342	415.8204	-56.410698	23.4158	1.9096241	7.7969666	25.543343	-24.290823	300000	-0.0037566703	629.84436	-0.006403466	-31.791708	1.7179244	0.011074906	0.117139995	39.0	176.42709708213806
6	2.736469	37.128387	411.27206	-65.61141	29.945047	3.9319909	11.555708	32.09691	-29.491652	350000	-0.0045578443	810.9342	-0.005720009	-32.746246	1.6973959	0.011014363	0.08719999	39.0	205.29967975616455
7	7.602634	52.16163	485.61224	-61.85239	33.377026	6.8340287	16.701653	42.8568	-23.249561	400000	-0.0046181977	1345.1224	-0.0054105464	-81.0058	1.6674211	0.0125729125	0.13480999	39.0	233.16816449165344
8	16.363354	65.23309	518.6467	-64.853615	32.88497	15.631798	21.42847	49.82933	-22.719872	450000	-0.0047696196	1850.5698	-0.0055882065	-87.49718	1.623455	0.01227728	0.1337	39.0	264.85598731040955
9	24.945642	87.32916	672.7664	-54.139305	30.881514	27.826063	25.872307	59.74618	-19.532295	500000	-0.0031979978	2910.9263	-0.0057148766	-185.97163	1.585347	0.012943865	0.13255	35.5	296.54602909088135
10	32.39686	98.83267	674.50116	-67.14722	34.10944	38.58123	30.317345	73.05208	-28.696173	550000	-0.0028319098	2997.8474	-0.0044371653	-113.775505	1.5674522	0.010717854	0.08474	39.0	327.85419821739197
11	35.31556	105.00251	612.89386	-56.838306	36.236534	44.70991	34.586166	81.43966	-20.681536	600000	-0.002830632	2976.6477	-0.004508382	-89.93644	1.5395648	0.011208218	0.079679996	39.0	358.5825357437134
12	45.644344	122.089714	626.322	-47.66842	36.406	53.79792	35.16626	87.04206	-9.81848	650000	-0.0038531162	3868.9722	-0.004313925	-143.65643	1.5211029	0.011488858	0.12735	39.0	389.7354826927185
13	49.459286	127.05912	670.7552	-59.45916	39.703114	64.24306	34.749092	91.66552	-7.7409143	700000	-0.0021860711	3748.5369	-0.005338803	-60.646706	1.4964569	0.010264877	0.07366	39.0	422.8183915615082
14	48.387684	123.29065	614.3481	-60.67093	38.789062	65.93827	36.671238	96.59246	-23.175756	750000	-0.0017083818	3681.9966	-0.0051412378	-54.538177	1.4946129	0.008436067	0.098309994	39.0	455.15573167800903
15	50.980335	126.528076	636.29926	-32.248985	37.875095	70.4836	32.886013	99.216576	-14.322132	800000	-0.003967786	4054.8433	-0.0043607	-89.11679	1.4852468	0.012102736	0.09187999	39.0	488.2358593940735
16	61.44327	142.94423	680.52295	-20.0	39.685852	77.54434	27.986837	102.69994	-8.873974	850000	-0.0034117233	4772.651	-0.0045485827	-103.05768	1.4310288	0.010862829	0.0962	39.0	518.8908784389496
17	63.896523	145.53044	736.81305	-25.715769	39.23107	84.88366	26.070248	106.41183	-23.051563	900000	-0.0024646139	5237.989	-0.0042007617	-84.579834	1.4042077	0.009638291	0.06883	39.0	546.5710172653198
18	79.323105	166.16328	720.67865	-20.474121	42.797066	91.29114	22.343195	107.15207	-27.876596	950000	-0.001413336	5923.918	-0.0052448064	-116.02588	1.3858707	0.009327071	0.064619996	39.0	577.780508518219
19	94.907394	179.81757	803.34393	-20.0	46.50892	101.0361	20.849653	112.34392	-23.041883	1000000	-0.0015194193	6304.295	-0.0051568463	-114.85492	1.3654313	0.009531511	0.07134	39.0	606.9528844356537
20	81.51285	173.1003	738.41516	-20.0	42.718456	105.98686	23.240685	121.53071	-9.646161	1050000	-0.0015158276	5945.4004	-0.004122156	-65.154724	1.3624468	0.0076582246	0.05501	39.0	638.8419618606567
21	85.50007	172.29703	756.2467	-20.0	43.416595	107.50483	24.148458	124.427925	-7.573156	1100000	-0.0026141927	6251.9707	-0.0034113578	-64.10071	1.3487117	0.007832814	0.06284	39.0	668.0095348358154
22	91.042534	179.75055	786.50653	-60.53427	47.152752	111.0192	22.40821	129.78809	-7.59796	1150000	-0.0022278056	6504.462	-0.005175812	-177.14325	1.3472947	0.010704359	0.069	39.0	701.1087956428528
23	91.000496	181.34435	926.6729	-20.0	46.783836	107.92782	25.109076	129.97766	-7.244864	1200000	-0.002612539	6506.033	-0.0043615387	-100.03485	1.3186857	0.009794809	0.069409996	39.0	734.3388769626617
24	107.46819	191.57068	814.64594	-27.405825	52.070156	111.56771	24.400543	131.62903	-4.229352	1250000	-0.002301991	6515.6084	-0.0043831463	-68.32495	1.3191962	0.009563077	0.058709998	39.0	765.2111175060272
25	93.64636	189.22498	799.0218	-20.0	45.551598	114.83377	23.944237	133.03725	-15.829458	1300000	-0.0024692384	6667.652	-0.004155293	-41.862732	1.2961173	0.00837756	0.07243	39.0	796.4785718917847
