Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-646.5391	30.219698	-602.75574	-699.7637	1000.0	0.04056977	0.0977247	0.47530445	-0.3742211	40000	-0.02109398	3253.7554	-0.024597727	-507.4766	0.91871995	0.015137307	0.26386252	9.0	157.03595185279846
1	-632.205	30.346281	-587.7317	-690.0162	1000.0	-9.683797	0.35899925	-2.8337703	-10.175251	80000	-0.019587599	2307.6106	-0.02535769	-258.29807	0.91822696	0.015223669	0.26743752	11.0	290.29928636550903
2	-615.55554	28.676088	-581.0029	-672.9657	1000.0	-15.513872	0.38755882	-6.081879	-15.935857	120000	-0.022491582	1708.1265	-0.02277028	-188.33498	0.9175223	0.015577201	0.29153752	13.0	436.3585162162781
3	-599.78577	29.661089	-565.7532	-664.7898	1000.0	-20.461771	0.40897545	-9.738434	-20.837763	160000	-0.02335146	1259.3364	-0.025455318	-143.9737	0.9166614	0.015246442	0.2971625	13.5	576.7527928352356
4	-583.72107	30.411821	-553.55164	-644.6382	1000.0	-24.873909	0.43491468	-13.089378	-25.204006	200000	-0.024462089	904.4779	-0.033557914	-108.77089	0.9158561	0.015404829	0.33033752	15.5	725.3928995132446
5	-572.9252	35.180923	-540.41125	-637.9897	1000.0	-28.815363	0.48296154	-16.173222	-29.18606	240000	-0.026092067	655.26526	-0.026095795	-83.01021	0.91519916	0.01653515	0.30715	15.5	876.1172816753387
6	-558.08673	33.996304	-530.46027	-621.3972	1000.0	-32.353973	0.57205474	-19.174982	-33.016567	280000	-0.010674119	446.24503	-0.0120569	-59.90539	0.9148846	0.01656346	0.2779125	4.5	1015.0274505615234
7	-535.66876	31.721827	-502.7229	-592.9011	1000.0	-35.45819	0.69721	-21.992794	-36.42554	320000	-0.010049835	265.39423	-0.010196179	-38.109608	0.91480076	0.015911687	0.28227502	3.5	1169.5570108890533
8	-515.1876	30.623852	-484.9245	-571.1581	1000.0	-38.023254	0.8390181	-24.424183	-39.286194	360000	-0.009394914	148.08688	-0.008674165	-22.441004	0.91472703	0.01759835	0.27771252	2.5	1323.105148077011
9	-495.0456	25.192745	-468.08185	-542.6668	1000.0	-40.05639	0.9967701	-26.482904	-41.63062	400000	-0.008148208	73.10479	-0.008300857	-11.706905	0.9146761	0.01586226	0.25530002	2.0	1483.0043380260468
10	-475.7544	26.032131	-452.98575	-534.54767	1000.0	-41.58172	1.1094009	-28.3909	-43.38831	440000	-0.005883813	31.260801	-0.0067666583	-5.2113037	0.9146125	0.020007651	0.326725	2.0	1632.5972363948822
