Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-3.1538203	13.59141	124.25951	-62.649677	18.858706	-0.035401177	0.10231285	0.14613305	-0.24940059	40000	1.9557774e-08	247.31665	-0.009338591	-17.084606	1.7803068	0.012504322	0.14305	39.0	21.105426788330078
1	-4.0120063	18.82842	185.12286	-77.02152	31.58903	-3.15812	0.8813857	-0.24244618	-4.295177	80000	9.313226e-09	460.89172	-0.0050653843	-54.059303	1.7661124	0.008797307	0.0356	39.0	44.08908987045288
2	-4.1736274	22.58521	271.02515	-72.06578	41.944798	-7.246592	1.8847207	1.4056796	-9.327634	120000	-1.8626451e-09	469.68976	-0.0040868153	-55.26442	1.7535229	0.008860977	0.059949998	39.0	66.09363579750061
3	-3.605162	20.081203	184.07692	-71.79282	37.53346	-8.127749	4.8204637	11.059955	-13.036461	160000	-1.3969839e-08	377.64233	-0.004720631	-27.652393	1.7335235	0.010661124	0.057125	39.0	87.62634015083313
4	-1.385237	24.772074	277.12714	-68.90434	34.308224	-5.8392696	7.804858	13.284708	-15.459655	200000	-1.1175871e-08	461.82498	-0.005582868	-37.49482	1.729616	0.010302739	0.076024994	39.0	111.77845525741577
5	1.2750347	28.241968	310.9524	-68.82922	27.816141	-0.8932123	9.25992	14.846791	-17.481192	240000	7.450581e-09	606.64014	-0.006066412	-27.746326	1.7188343	0.008520927	0.070199996	39.0	134.92568802833557
6	1.0748358	28.09585	371.42517	-52.289047	22.496887	2.9914029	8.358945	18.901936	-16.83216	280000	-3.7252903e-09	631.95935	-0.0064836475	-25.450657	1.6985763	0.009674772	0.0589	39.0	157.32804918289185
7	2.8636386	35.49109	414.74335	-62.885777	26.422031	4.8738575	8.551957	22.43874	-15.659187	320000	0.0	832.4142	-0.0051136385	-40.51227	1.6655059	0.0092597315	0.053875	39.0	178.50224614143372
8	7.00596	46.597645	409.31866	-61.033417	33.093254	5.484689	11.66822	27.65249	-15.035602	360000	1.4901161e-08	1151.4924	-0.0045157876	-105.48796	1.6498592	0.011325574	0.081424996	39.0	200.56664538383484
9	11.966521	60.483963	571.5697	-61.772045	38.04624	7.3582134	16.58039	33.482834	-15.998086	400000	0.0	1609.9863	-0.0049482947	-133.376	1.6287289	0.0086834375	0.026974998	39.0	222.84519243240356
10	12.51998	62.75759	549.899	-68.08775	33.922157	10.325834	16.689962	38.35349	-15.697152	440000	1.4901161e-08	1816.7972	-0.0044565406	-107.76336	1.6085334	0.008272588	0.0385	39.0	247.1946587562561
11	18.643885	78.82855	623.2076	-65.31311	37.027054	12.881506	20.709513	43.73733	-16.263905	480000	7.450581e-09	2403.7615	-0.0045903698	-183.3841	1.6071035	0.0092500085	0.0207	39.0	271.6641917228699
12	22.077024	84.90178	611.69763	-62.349552	37.143524	15.457097	24.618046	49.893402	-23.277462	520000	0.0	2819.6736	-0.00488407	-151.04869	1.5819726	0.006737378	0.065074995	39.0	293.8846244812012
13	22.117004	97.12315	655.326	-61.248577	34.412426	18.848093	27.02075	54.99054	-23.514824	560000	1.4901161e-08	3582.3381	-0.002875552	-212.58113	1.5676441	0.008275998	0.04135	39.0	317.1026966571808
14	30.404373	107.412384	679.8625	-60.039375	38.23055	21.841713	31.041042	60.92398	-19.171404	600000	1.4901161e-08	3745.2488	-0.004492026	-263.8504	1.5571971	0.010551745	0.0402	39.0	340.73780131340027
15	24.410418	96.65711	624.6672	-59.30402	34.68788	26.023815	33.615635	65.46206	-15.4294	640000	1.4901161e-08	3056.7512	-0.0038841423	-108.149155	1.5242035	0.009615414	0.0364	39.0	362.4209535121918
16	33.227974	116.21301	740.8418	-64.920296	37.122295	28.140488	35.768738	69.23359	-29.041756	680000	2.2351742e-08	4279.251	-0.0033345427	-199.95932	1.4992533	0.008344359	0.032174997	39.0	385.82885098457336
