Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	138.48947	5.063484	148.44954	128.97604	1000.0	-0.021603396	0.053701956	0.25725588	-0.3611077	40000	-5.2154064e-07	164.85567	-0.005320322	-134.21916	0.91894364	0.004122546	0.036575	79.0	12.275768995285034
1	143.1011	4.7771773	157.14986	133.03253	1000.0	7.855383	0.24607097	8.469543	5.3644505	80000	-9.778887e-09	189.78339	-0.0062268586	-186.56166	0.8970338	0.0052305623	0.040925	79.0	24.551787614822388
2	149.57385	4.5942783	158.84035	139.94629	1000.0	12.84073	0.08915227	13.060581	11.668382	120000	-1.8626451e-08	217.9521	-0.0068127424	-216.83719	0.87283957	0.005396506	0.043725	79.0	36.88725543022156
3	154.12439	5.177633	170.98326	145.53114	1000.0	14.560941	0.06746604	14.714711	13.608204	160000	-1.8626451e-08	236.32832	-0.006210701	-235.28496	0.84772354	0.0053371824	0.03385	79.0	48.54902982711792
4	159.99048	5.2334914	172.39851	148.22675	1000.0	15.282533	0.09211017	15.477566	13.879585	200000	1.1175871e-08	252.67023	-0.00541161	-251.4791	0.82281506	0.0040205	0.028725	79.0	61.948344707489014
5	165.91208	4.6629767	180.67537	156.84738	1000.0	15.882659	0.058618363	16.023893	15.132306	240000	0.0	274.643	-0.004809904	-273.41367	0.79765	0.0032846997	0.027424999	79.0	74.2489881515503
6	169.91948	5.0415235	182.11136	160.00348	1000.0	16.49504	0.08067172	16.642792	15.416964	280000	-3.7252903e-09	289.2573	-0.00564255	-287.90976	0.7749066	0.0031412917	0.027775	79.0	86.05587434768677
7	174.7072	5.7224145	186.5773	164.91014	1000.0	16.852566	0.100852035	17.027155	16.228	320000	5.5879354e-09	302.44632	-0.004626426	-301.05173	0.75049925	0.0029075812	0.019975	79.0	99.96364307403564
8	180.72916	5.94284	196.91243	167.45981	1000.0	17.362064	0.12908745	17.548529	16.679245	360000	2.7939677e-09	323.32544	-0.0043529337	-321.86316	0.7272058	0.002317585	0.016775	79.0	112.66340446472168
9	184.9143	5.968159	194.56783	172.07645	1000.0	17.954538	0.06343601	18.106478	17.093634	400000	6.519258e-09	340.5733	-0.00428268	-338.90283	0.70399487	0.0023071575	0.0203	79.0	125.58894944190979
10	189.00053	6.894772	207.81346	173.77652	1000.0	18.382385	0.054657478	18.52719	17.744127	440000	-6.519258e-09	356.51837	-0.0038742512	-354.5286	0.6824035	0.0027022338	0.01765	79.0	137.58113479614258
11	192.26994	6.789136	205.5241	173.33737	1000.0	18.786825	0.047654133	18.939907	18.112316	480000	6.519258e-09	368.19116	-0.004184127	-366.40045	0.66086966	0.002968405	0.020375	79.0	148.3815803527832
12	195.21333	6.2968903	207.93198	182.56413	1000.0	19.116142	0.18172784	19.360958	18.187723	520000	-5.5879354e-09	379.05505	-0.0040737945	-377.05264	0.6404571	0.0035290252	0.023850001	79.0	159.69840002059937
13	198.29028	5.6443076	215.36467	188.26143	1000.0	19.397266	0.0491821	19.55626	18.829668	560000	-5.820766e-09	394.1134	-0.0040710787	-392.01685	0.62139493	0.0026068687	0.021225002	79.0	173.05574655532837
14	202.1717	7.2565026	218.05087	184.92572	1000.0	19.74415	0.085593015	19.88936	19.02991	600000	0.0	405.72647	-0.0035567442	-403.43274	0.60169846	0.0022713097	0.014175	79.0	185.20636081695557
15	207.69975	7.335015	222.45245	193.55635	1000.0	20.086288	0.037970923	20.190022	19.57409	640000	8.8475645e-09	428.794	-0.003612547	-426.0582	0.58146346	0.0031012874	0.022175	79.0	197.14404344558716
16	205.32588	6.9499083	219.26384	191.44806	1000.0	20.633984	0.05845502	20.75298	19.983736	680000	-1.5017577e-08	420.75867	-0.0028131236	-418.30005	0.5642124	0.002972769	0.015875	79.0	216.52462077140808
17	212.64995	7.5631995	232.92426	199.86496	1000.0	20.420609	0.098216005	20.596434	19.925848	720000	-1.0244548e-08	447.76825	-0.003075544	-444.83298	0.5482452	0.0030152958	0.019125	79.0	233.37656807899475
18	213.48447	9.307484	232.19394	191.22533	1000.0	21.086565	0.046902955	21.212322	20.678616	760000	-6.519258e-09	451.0905	-0.00324566	-447.9024	0.5324554	0.002991137	0.020849999	79.0	245.10808539390564
19	215.88266	7.9651294	229.80525	197.94257	1000.0	21.110754	0.20817442	21.416048	20.261026	800000	1.21071935e-08	465.4704	-0.0030743936	-462.60117	0.5172693	0.0028536078	0.02005	79.0	257.1816174983978
20	219.81648	10.141311	239.01253	190.81253	1000.0	21.434307	0.15305279	21.624466	20.92019	840000	1.3038516e-08	483.04022	-0.0031298902	-479.09033	0.5002669	0.0027878731	0.021275	79.0	268.2556025981903
21	224.24307	7.861293	241.01752	208.49632	1000.0	21.787474	0.12078449	21.979876	21.199453	880000	1.8626451e-08	496.1489	-0.0031068423	-492.7546	0.48549262	0.0026613572	0.019450001	79.0	281.3322217464447
22	223.43896	8.0992775	240.40482	206.64622	1000.0	22.197918	0.12800324	22.370934	21.60728	920000	7.450581e-09	493.96265	-0.0031054856	-490.82526	0.46956378	0.003739238	0.020225	79.0	294.8306713104248
23	226.9877	8.089424	242.95819	209.16112	1000.0	22.188349	0.31988588	22.574417	21.497732	960000	-2.7008355e-08	510.74545	-0.002580637	-507.20297	0.45248985	0.0021509635	0.013899999	79.0	306.8674337863922
24	229.0022	8.981179	250.43106	212.08647	1000.0	22.512053	0.08587324	22.718716	21.843649	1000000	-1.5366822e-08	516.8977	-0.00275396	-512.7096	0.4378995	0.0033307283	0.0219	79.0	319.69643568992615
25	230.41875	8.897439	247.42232	210.55435	1000.0	22.720516	0.06582352	22.879538	21.374609	1040000	0.0	524.2086	-0.0023576133	-520.29614	0.4243547	0.0026875045	0.017	79.0	332.09882521629333
26	235.31458	10.063411	254.84343	213.75186	1000.0	22.911287	0.3202124	23.235975	22.101637	1080000	1.8626451e-08	550.877	-0.0029283566	-546.28455	0.41150752	0.003268273	0.018725	79.0	344.0999846458435
27	239.09384	8.619415	263.18808	223.03003	1000.0	23.348377	0.21399392	23.577982	22.74612	1120000	-3.259629e-09	566.4964	-0.003003595	-561.69434	0.3955345	0.0025429684	0.0186	79.0	356.0565860271454
28	238.78177	12.206767	261.68054	209.48914	1000.0	23.626583	0.15962933	23.852785	23.039352	1160000	2.7939677e-09	564.3578	-0.0028682954	-559.25366	0.37996525	0.0018709181	0.01595	79.0	368.6889913082123
29	240.51074	8.775195	257.94565	222.36482	1000.0	23.682467	0.491568	24.162867	22.501833	1200000	-5.5879354e-09	574.05695	-0.0033181868	-569.4971	0.36262128	0.0029969267	0.023125	79.0	380.6156530380249
30	242.1309	10.411529	270.8969	223.16864	1000.0	23.836515	0.05612742	23.99008	23.231531	1240000	-1.8626451e-08	579.9935	-0.0024969047	-574.9273	0.34749871	0.0021125306	0.016775	79.0	394.06806802749634
31	242.16821	10.921408	270.89337	215.23961	1000.0	24.04573	0.16793844	24.235737	23.374199	1280000	6.519258e-09	584.1421	-0.0026984056	-578.76013	0.33458146	0.0026733486	0.0174	79.0	406.5989830493927
32	249.36026	13.837899	279.11087	227.32523	1000.0	23.995018	0.22632623	24.217901	23.187918	1320000	1.1175871e-08	620.12476	-0.0024607098	-613.3695	0.3206076	0.0035619524	0.0222	79.0	418.819349527359
33	251.38925	12.495618	273.91272	224.79941	1000.0	24.684828	0.08172813	24.830458	23.682959	1360000	3.7252903e-09	631.0015	-0.0023503182	-624.183	0.3091487	0.0031602303	0.02045	79.0	433.1031813621521
