Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2.0228896	0.18637261	2.3456972	1.5786431	1000.0	-0.08435398	0.18807338	0.38950878	-0.76271486	40000	7.566996e-09	0.112589754	-0.0118566435	-0.10570671	0.9189447	0.0073533985	0.077325	79.0	7.185868501663208
1	2.118853	0.17918092	2.5964253	1.7810738	1000.0	0.1707724	0.03540547	0.31612194	-0.04347282	80000	-5.5879354e-09	0.10957812	-0.014686733	-0.1073814	0.9160725	0.007108325	0.098975	79.0	14.57999563217163
2	2.2547317	0.20051385	2.830238	1.8284848	1000.0	0.2065112	0.024006108	0.30526298	0.0242666	120000	-1.1175871e-08	0.11387309	-0.015632167	-0.11192117	0.9013302	0.008876553	0.119825	79.0	22.352785348892212
3	2.5257049	0.2120065	2.8605614	1.9286584	1000.0	0.22471373	0.0196507	0.30522153	0.06864846	160000	-1.816079e-08	0.11643261	-0.016552819	-0.11415088	0.8834139	0.007920723	0.13012499	79.0	30.241634607315063
4	2.878104	0.22116964	3.434251	2.324071	996.525	0.25060338	0.018087417	0.32286173	0.0047829226	200000	1.6298145e-09	0.12549852	-0.017210316	-0.12243009	0.8669669	0.010447767	0.1304	79.0	38.527167558670044
5	3.1681335	0.24086404	3.8026693	2.6040463	1000.0	0.28718892	0.0183895	0.3570924	0.12248784	240000	1.8626451e-09	0.13470788	-0.017114833	-0.13094479	0.8457159	0.008468765	0.13402501	79.0	46.79431366920471
6	3.566321	0.26209745	4.129396	2.8706462	1000.0	0.31542134	0.019010471	0.38080063	0.16470128	280000	2.6309863e-08	0.15111649	-0.01839472	-0.14649917	0.8251559	0.01100718	0.1435	79.0	54.80615019798279
7	4.0668564	0.32204366	4.619597	3.2982967	1000.0	0.35689345	0.022471631	0.42225665	0.17674457	320000	-3.7252903e-09	0.17571616	-0.017612835	-0.16921043	0.80610263	0.00937652	0.13752499	79.0	62.4998574256897
8	4.4332924	0.39481604	5.209131	3.523003	1000.0	0.4092725	0.027990773	0.47591376	0.22302963	360000	-3.7252903e-09	0.19935054	-0.017243106	-0.19223273	0.78546995	0.009662118	0.141875	79.0	70.01603698730469
9	5.004107	0.45798904	6.0546765	4.05369	1000.0	0.44871217	0.026484571	0.51703036	0.28114092	400000	3.7252903e-09	0.23639354	-0.017753612	-0.22692746	0.7656397	0.009605235	0.138675	79.0	77.1547601222992
10	5.7349343	0.5148548	6.5499806	4.3953924	996.525	0.5049036	0.037681207	0.5939208	0.17053074	440000	-3.7718564e-08	0.2979007	-0.016985698	-0.2840753	0.7454529	0.0098549705	0.14232501	79.0	84.00544500350952
11	6.302825	0.5035841	7.6095357	5.3051324	1000.0	0.57669103	0.035917234	0.6692877	0.35544908	480000	-1.4901161e-08	0.35154024	-0.018639188	-0.33763087	0.72450805	0.011883598	0.152125	79.0	90.92435646057129
12	6.9907837	0.75899845	8.884492	5.2112927	996.525	0.6337889	0.042325452	0.7432793	0.018797219	520000	7.450581e-09	0.43021804	-0.017140198	-0.40812045	0.7050075	0.0098268315	0.13345	79.0	97.75877261161804
13	7.6817217	0.73900485	9.832835	6.3387384	1000.0	0.7029739	0.05449835	0.839892	0.41925055	560000	9.313226e-09	0.51598907	-0.018602155	-0.4886124	0.6872119	0.010953321	0.148375	79.0	104.70715522766113
14	8.653915	0.77498394	10.274619	6.481782	996.525	0.7737003	0.066372745	0.9173263	-0.08052291	600000	-2.4214387e-08	0.6529485	-0.018010251	-0.6231029	0.66722643	0.010123788	0.1391	79.0	111.71483874320984
15	9.704273	0.82450074	11.451875	8.327421	1000.0	0.8754779	0.06239771	1.0432185	0.51164937	640000	-4.1909516e-09	0.83536077	-0.01763653	-0.7952809	0.647511	0.0099563375	0.1421	79.0	119.1471107006073
16	10.327837	0.94525206	12.4202385	8.28062	1000.0	0.981402	0.08464009	1.1523626	0.54215485	680000	8.8475645e-09	0.94482535	-0.017787851	-0.8965162	0.6283768	0.009844695	0.143325	79.0	126.85534811019897
17	11.6006775	1.0782995	13.846256	9.746325	1000.0	1.04131	0.08048548	1.2177739	0.65777093	720000	1.8626451e-08	1.214813	-0.017887603	-1.1549611	0.60838026	0.008567528	0.13735	79.0	135.00317239761353
18	12.817284	1.2942575	16.146221	10.698968	1000.0	1.1779952	0.105697654	1.3935254	0.67441636	760000	3.7252903e-09	1.5126897	-0.018388532	-1.4404669	0.591915	0.010473512	0.147225	79.0	143.29276776313782
19	14.067062	1.4417514	16.95233	11.364103	1000.0	1.3094993	0.12811176	1.564006	0.7328944	800000	3.7252903e-09	1.8323629	-0.017509863	-1.7395642	0.5717594	0.009324821	0.133525	79.0	151.512681722641
20	15.102374	1.7286717	19.122402	10.554026	993.05	1.4232705	0.1504088	1.718875	0.028841902	840000	5.5879354e-09	2.1413467	-0.018882101	-2.0326002	0.5568152	0.010562215	0.147125	79.0	159.42769956588745
21	16.978235	1.6822096	20.735764	12.424284	1000.0	1.5403367	0.14610925	1.8639174	0.8954711	880000	-1.3038516e-08	2.7247295	-0.017846242	-2.5960548	0.53963375	0.010136664	0.139275	79.0	167.21054816246033
22	18.513832	1.4675602	20.77451	14.597334	1000.0	1.7278539	0.17869659	2.0449758	1.0099233	920000	1.3969839e-08	3.28171	-0.017851766	-3.1356478	0.5216158	0.0113786375	0.14615	79.0	174.76716923713684
23	19.273045	1.8547353	24.387428	15.915204	1000.0	1.8871785	0.18760824	2.232697	1.1403118	960000	1.3038516e-08	3.6457968	-0.018727783	-3.4889493	0.504304	0.011377955	0.14695	79.0	181.80497765541077
24	20.91347	1.7399268	24.008204	17.304272	1000.0	1.9849067	0.21920519	2.4091034	1.1691326	1000000	1.8626451e-09	4.249034	-0.018121544	-4.048753	0.48587078	0.010326489	0.14175001	79.0	188.7307734489441
25	22.990917	2.579131	32.221466	18.780497	996.525	2.1291087	0.2088148	2.5146954	0.042706408	1040000	-9.313226e-09	5.2343626	-0.018052239	-4.9498377	0.47071448	0.009407099	0.138725	79.0	195.57533311843872
26	24.724434	2.6257856	29.783972	19.299406	1000.0	2.3447015	0.2408689	2.779087	1.3338456	1080000	2.0954758e-09	6.0998588	-0.018318538	-5.7781014	0.45232305	0.011841727	0.14485002	79.0	202.4936501979828
27	27.293127	2.8538523	33.29598	19.714481	1000.0	2.534668	0.24417157	2.9650903	0.7237388	1120000	-6.519258e-09	7.4149094	-0.018210104	-7.027693	0.4333758	0.009626908	0.14355001	79.0	209.34340405464172
28	29.400995	3.0442958	33.85463	22.478962	1000.0	2.760506	0.28861815	3.2989473	0.74087524	1160000	-3.7252903e-09	8.80991	-0.018366817	-8.296074	0.41480547	0.009494473	0.142525	79.0	216.3741991519928
29	32.781048	3.3680408	40.54569	26.476538	1000.0	3.01153	0.31018835	3.5228963	1.6438732	1200000	-3.7252903e-09	10.870288	-0.018782435	-10.338625	0.40117764	0.009802407	0.14452499	79.0	223.69299507141113
30	32.89289	4.1455436	42.32041	22.769758	1000.0	3.295768	0.3655504	3.9804308	0.7975672	1240000	-3.7252903e-09	11.335117	-0.018516304	-10.629915	0.3845764	0.01045794	0.14792499	79.0	231.317866563797
31	36.40111	3.6994846	46.355732	27.86532	1000.0	3.4052017	0.38662156	4.205076	0.560934	1280000	5.5879354e-09	13.657163	-0.018308315	-12.914297	0.36868438	0.009558939	0.13839999	79.0	239.32052421569824
32	38.939568	4.290503	48.088963	29.537771	1000.0	3.7023046	0.40044537	4.4405947	0.6463059	1320000	1.21071935e-08	15.927178	-0.019231118	-15.025432	0.35222676	0.011817515	0.1479	79.0	247.61779856681824
33	41.559784	5.058647	50.59092	28.187664	1000.0	3.9908676	0.4715276	5.0055985	0.43614522	1360000	1.1175871e-08	18.182909	-0.01797403	-17.138983	0.33649093	0.010880794	0.1455	79.0	255.91091299057007
34	44.69156	4.3352346	56.148323	36.27983	1000.0	4.260957	0.48355213	5.303728	2.16703	1400000	1.8626451e-09	21.035563	-0.019106608	-19.859781	0.32253397	0.011457546	0.14337501	79.0	263.92659187316895
35	47.57785	5.166423	58.83668	37.111782	1000.0	4.590152	0.52172816	5.498614	2.351617	1440000	-1.3038516e-08	24.232552	-0.019127226	-22.851715	0.30889082	0.010427031	0.14937499	79.0	271.7511930465698
36	49.43301	7.1459937	66.07919	36.16475	996.525	4.8848214	0.5884731	5.8540344	0.21525472	1480000	-3.7252903e-09	26.589302	-0.01937319	-24.861763	0.29130697	0.01111604	0.149175	79.0	279.1706893444061
37	53.33019	8.285146	71.245415	37.31712	1000.0	5.074334	0.6616403	6.3273544	2.285536	1520000	5.5879354e-09	31.217175	-0.019351209	-29.03381	0.27444285	0.010241961	0.150075	79.0	286.3158481121063
38	57.78761	5.7123203	72.13754	44.62868	1000.0	5.4804354	0.6608545	6.6418834	2.6288314	1560000	-4.656613e-09	36.64743	-0.019025479	-34.45755	0.2590409	0.009747059	0.1424	79.0	293.2827227115631
39	59.111244	7.5043964	80.27682	43.17004	1000.0	5.964136	0.77106094	7.6049285	2.924347	1600000	-8.381903e-09	38.28791	-0.019464152	-35.71409	0.24498892	0.011621404	0.1525	79.0	300.6137249469757
40	64.144226	8.624539	82.87194	46.51158	996.525	6.087189	0.684093	7.4555674	0.32405716	1640000	7.450581e-09	45.228622	-0.019433856	-42.270813	0.23068659	0.010349414	0.148725	79.0	308.17862200737
41	68.721016	8.954996	94.273026	51.4347	996.525	6.5669827	0.7658928	7.937835	-0.7656167	1680000	0.0	52.15629	-0.019138988	-48.71422	0.21703002	0.011315484	0.14745	79.0	315.4090654850006
42	73.190765	9.334591	89.00372	55.279186	1000.0	7.081877	0.8854297	8.713347	-1.3241907	1720000	0.0	59.657413	-0.0194877	-55.664925	0.20243204	0.010966021	0.147525	79.0	322.6435341835022
43	77.787254	11.067841	101.58129	58.505787	1000.0	7.5331783	1.0914271	9.338374	-2.4470298	1760000	1.4901161e-08	67.25403	-0.019223012	-62.27029	0.18967447	0.010196727	0.144825	79.0	330.1779398918152
44	79.34117	10.53264	104.59731	55.560093	1000.0	8.012964	1.0076371	10.133637	2.9684093	1800000	-5.5879354e-09	70.98115	-0.020119011	-66.2551	0.17413203	0.01197391	0.1547	79.0	338.15297770500183
